names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
MMD	-2.4600828	-1.18519	0.0138904950408556	0.0496853405627198	ER_enriched_37_vs_Normal_enriched_22	down
ARRDC2	-2.4632869	-1.0898356	0.0137669675821398	0.0492734569953057	ER_enriched_37_vs_Normal_enriched_22	down
TMEM217	-2.4662821	-3.3081896	0.013652374580109	0.0489129237494463	ER_enriched_37_vs_Normal_enriched_22	down
RASGEF1A	-2.4677448	-1.890282	0.0135967173934718	0.0487725128803293	ER_enriched_37_vs_Normal_enriched_22	down
CCDC22	-2.4687898	-1.2467948	0.0135570850777721	0.048660448778944	ER_enriched_37_vs_Normal_enriched_22	down
PTCHD1	-2.4688594	-5.1414332	0.0135544465559881	0.048660448778944	ER_enriched_37_vs_Normal_enriched_22	down
GFOD1	-2.4761732	-1.5547205	0.0132799140873686	0.047772494204204	ER_enriched_37_vs_Normal_enriched_22	down
CCNYL1	-2.4789593	-1.425938	0.0131766303492282	0.04743963324059	ER_enriched_37_vs_Normal_enriched_22	down
RLF	-2.479029	-1.2544073	0.0131740573814514	0.04743963324059	ER_enriched_37_vs_Normal_enriched_22	down
RAPGEF1	-2.4791684	-1.2417003	0.0131689127785979	0.0474312035065036	ER_enriched_37_vs_Normal_enriched_22	down
DUSP2	-2.4821634	-2.7707744	0.0130587326613251	0.0470439644363174	ER_enriched_37_vs_Normal_enriched_22	down
IL15	-2.4826512	-3.470737	0.0130408737375379	0.0469892213802034	ER_enriched_37_vs_Normal_enriched_22	down
UCK1	-2.4832084	-1.260641	0.0130204899930859	0.0469253566029413	ER_enriched_37_vs_Normal_enriched_22	down
AP5B1	-2.4833477	-2.2407146	0.0130153984623812	0.0469165895543853	ER_enriched_37_vs_Normal_enriched_22	down
OTULIN	-2.483487	-1.1211478	0.0130103086928185	0.0469078252727388	ER_enriched_37_vs_Normal_enriched_22	down
DDR2	-2.4839048	-3.5240018	0.0129950499458796	0.0468719657185293	ER_enriched_37_vs_Normal_enriched_22	down
SPIRE1	-2.4880145	-1.357388	0.0128458467136567	0.0464187885705515	ER_enriched_37_vs_Normal_enriched_22	down
CAD	-2.4930995	-1.4273355	0.0126633386827205	0.0458159957056805	ER_enriched_37_vs_Normal_enriched_22	down
ZUP1	-2.49498	-2.122548	0.0125964194314607	0.0455925786396152	ER_enriched_37_vs_Normal_enriched_22	down
ARRDC4	-2.4950497	-2.1988235	0.0125939469644115	0.0455925786396152	ER_enriched_37_vs_Normal_enriched_22	down
FRK	-2.4983234	-1.8636117	0.0124782245876522	0.0452111443222018	ER_enriched_37_vs_Normal_enriched_22	down
CPNE2	-2.500692	-2.2225497	0.0123950984979181	0.0449561177791911	ER_enriched_37_vs_Normal_enriched_22	down
SF3A2	-2.5024333	-1.9039664	0.0123342896577953	0.0447908090166285	ER_enriched_37_vs_Normal_enriched_22	down
MED17	-2.5071697	-1.2527833	0.0121702245092374	0.0442948928710735	ER_enriched_37_vs_Normal_enriched_22	down
EDEM2	-2.5103738	-1.0154389	0.012060338691214	0.0439316011986935	ER_enriched_37_vs_Normal_enriched_22	down
MFSD14A	-2.5112097	-4.057716	0.0120318178471815	0.0438367594287668	ER_enriched_37_vs_Normal_enriched_22	down
ZNF224	-2.5116277	-1.0335783	0.0120175798579694	0.043802973888426	ER_enriched_37_vs_Normal_enriched_22	down
NUFIP1	-2.5120456	-1.2046204	0.0120033568063591	0.0437692148890695	ER_enriched_37_vs_Normal_enriched_22	down
NOMO1	-2.5131602	-2.0034585	0.0119655015967263	0.0436672752170086	ER_enriched_37_vs_Normal_enriched_22	down
NEK6	-2.5224242	-1.0132356	0.0116549047727465	0.042613094636368	ER_enriched_37_vs_Normal_enriched_22	down
CYYR1	-2.5236084	-4.0053644	0.0116157244686462	0.0424874498858339	ER_enriched_37_vs_Normal_enriched_22	down
ACTA2	-2.5273001	-1.828489	0.0114943231708439	0.0420782847198218	ER_enriched_37_vs_Normal_enriched_22	down
USP6NL	-2.5330815	-1.3874769	0.0113064660716838	0.0414593919025063	ER_enriched_37_vs_Normal_enriched_22	down
YRDC	-2.5369124	-1.0560018	0.0111834890210096	0.0410596470611141	ER_enriched_37_vs_Normal_enriched_22	down
AP000547.3	-2.5470822	-4.0346355	0.0108627842300016	0.0399570205833602	ER_enriched_37_vs_Normal_enriched_22	down
AUH	-2.549938	-1.5550706	0.0107742058163923	0.0396642732381063	ER_enriched_37_vs_Normal_enriched_22	down
RNF39	-2.5504954	-2.1889114	0.010756997285466	0.0396091855388248	ER_enriched_37_vs_Normal_enriched_22	down
PEX3	-2.5513313	-1.612451	0.01073123030512	0.0395225545259535	ER_enriched_37_vs_Normal_enriched_22	down
CPM	-2.5534208	-1.153654	0.0106670527864281	0.0393108075222482	ER_enriched_37_vs_Normal_enriched_22	down
IMMP2L	-2.5556498	-1.1067479	0.0105989731646691	0.0390844057451591	ER_enriched_37_vs_Normal_enriched_22	down
ARAP2	-2.5571823	-2.6320667	0.01055239285944	0.0389448477019086	ER_enriched_37_vs_Normal_enriched_22	down
ROBO3	-2.5634513	-4.153813	0.0103637276265124	0.038264903529988	ER_enriched_37_vs_Normal_enriched_22	down
TMEM39A	-2.5635905	-1.3123122	0.0103595693783851	0.038264903529988	ER_enriched_37_vs_Normal_enriched_22	down
XDH	-2.5667946	-25.777061	0.0102643385648233	0.0379217449699138	ER_enriched_37_vs_Normal_enriched_22	down
NME7	-2.5706954	-1.2072637	0.0101494576490179	0.0375444822257696	ER_enriched_37_vs_Normal_enriched_22	down
PROSER1	-2.5727153	-2.6251843	0.0100904168411093	0.0373649262296189	ER_enriched_37_vs_Normal_enriched_22	down
RNF185	-2.5773823	-1.95029	0.0099551802392026	0.0368876848636562	ER_enriched_37_vs_Normal_enriched_22	down
CHML	-2.5780787	-1.6484569	0.0099351347498501	0.036828876609476	ER_enriched_37_vs_Normal_enriched_22	down
TFE3	-2.5843477	-1.5917089	0.0097563371907556	0.0361965033075869	ER_enriched_37_vs_Normal_enriched_22	down
ACTR8	-2.586716	-1.1041808	0.009689541370437	0.0359713775470989	ER_enriched_37_vs_Normal_enriched_22	down
RAP1GAP2	-2.5897112	-1.7279798	0.0096056482495723	0.0356899691227005	ER_enriched_37_vs_Normal_enriched_22	down
OBP2B	-2.6014132	-1.6196064	0.0092840538019389	0.034567868608401	ER_enriched_37_vs_Normal_enriched_22	down
RFT1	-2.6045477	-1.3346872	0.0091995600753279	0.0342822043356202	ER_enriched_37_vs_Normal_enriched_22	down
COL22A1	-2.605105	-25.80068	0.009184611027561	0.0342337265697748	ER_enriched_37_vs_Normal_enriched_22	down
PTGER2	-2.605105	-25.774147	0.009184611027561	0.0342337265697748	ER_enriched_37_vs_Normal_enriched_22	down
RBM45	-2.6053836	-2.1150448	0.009177144637375	0.0342337265697748	ER_enriched_37_vs_Normal_enriched_22	down
PLCB1	-2.6062195	-2.2028847	0.0091547779613593	0.0341586079780472	ER_enriched_37_vs_Normal_enriched_22	down
USP43	-2.6130457	-1.1759381	0.0089739305120486	0.0335192641585727	ER_enriched_37_vs_Normal_enriched_22	down
CLP1	-2.6144388	-1.8533568	0.0089374172806443	0.0333970198892353	ER_enriched_37_vs_Normal_enriched_22	down
C1QL2	-2.6237726	-5.692292	0.0086961826667572	0.0325438267560829	ER_enriched_37_vs_Normal_enriched_22	down
WDR4	-2.6270463	-1.2636544	0.0086129592345544	0.0322665956886862	ER_enriched_37_vs_Normal_enriched_22	down
ARHGAP26	-2.6324794	-2.0423555	0.008476414027486	0.0318090866684372	ER_enriched_37_vs_Normal_enriched_22	down
SOS1	-2.639654	-1.5793701	0.0082990713253165	0.0311900135325263	ER_enriched_37_vs_Normal_enriched_22	down
GAREM1	-2.6432064	-1.9848968	0.0082124957045413	0.0308843748309104	ER_enriched_37_vs_Normal_enriched_22	down
TBC1D22B	-2.6467588	-1.6020538	0.0081267292032779	0.0305944392557797	ER_enriched_37_vs_Normal_enriched_22	down
POLR3C	-2.649127	-1.5824264	0.0080699978401682	0.0304133088188316	ER_enriched_37_vs_Normal_enriched_22	down
ANKRD36	-2.6537244	-1.3458208	0.0079608834148356	0.0300405876507217	ER_enriched_37_vs_Normal_enriched_22	down
DNAJC6	-2.6541424	-3.5614338	0.007951029737295	0.030016018042169	ER_enriched_37_vs_Normal_enriched_22	down
CASP1	-2.6565106	-3.3104937	0.0078953982705877	0.0298126048543806	ER_enriched_37_vs_Normal_enriched_22	down
