names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
COX6C	30.003717	3.563553	8.776710755998723e-198	3.871626532239937e-194	HER2_enriched_18_vs_Normal_enriched_22	up
XBP1	28.190023	2.983554	7.749887308524607e-175	1.519408461765741e-171	HER2_enriched_18_vs_Normal_enriched_22	up
SERF2	27.30228	1.6714823	3.985279986738666e-164	5.4092511820002904e-161	HER2_enriched_18_vs_Normal_enriched_22	up
TFF3	23.434095	4.8136525	1.9205194333525063e-121	9.41321261152916e-119	HER2_enriched_18_vs_Normal_enriched_22	up
CRIP1	23.312422	5.653606	3.317135009102566e-120	1.4275816398930434e-117	HER2_enriched_18_vs_Normal_enriched_22	up
H3F3A	22.833471	1.2216976	2.13324468461578e-115	8.962167252391771e-113	HER2_enriched_18_vs_Normal_enriched_22	up
ADIRF	22.349699	3.067384	1.2155967016349233e-110	4.662870391380048e-108	HER2_enriched_18_vs_Normal_enriched_22	up
RHOB	22.052841	3.1630845	8.970923653593947e-108	3.230447915666636e-105	HER2_enriched_18_vs_Normal_enriched_22	up
TSPAN13	21.78784	3.2895007	3.025853192646333e-105	9.997979027241756e-103	HER2_enriched_18_vs_Normal_enriched_22	up
PPDPF	21.774162	1.6876075	4.078627317059326e-105	1.308497800172942e-102	HER2_enriched_18_vs_Normal_enriched_22	up
TSTD1	21.557941	2.423537	4.4601251363334203e-103	1.2901460332885773e-100	HER2_enriched_18_vs_Normal_enriched_22	up
EFHD1	21.403578	4.444601	1.2374032643522574e-101	3.359073938383936e-99	HER2_enriched_18_vs_Normal_enriched_22	up
GATA3	21.30824	3.259668	9.52040698547448e-101	2.4704056067455468e-98	HER2_enriched_18_vs_Normal_enriched_22	up
CYB5A	21.223015	2.564781	5.854725248440389e-100	1.4758089572675807e-97	HER2_enriched_18_vs_Normal_enriched_22	up
GSTM3	20.863466	3.8931434	1.1502593129091781e-96	2.569155136238284e-94	HER2_enriched_18_vs_Normal_enriched_22	up
PBX1	20.811255	3.7572577	3.4227410772348586e-96	7.549283288476134e-94	HER2_enriched_18_vs_Normal_enriched_22	up
EMP2	20.772999	3.2704902	7.596378111687194e-96	1.6346108753746409e-93	HER2_enriched_18_vs_Normal_enriched_22	up
SMIM22	20.67131	2.730214	6.278740512754502e-95	1.318909242232776e-92	HER2_enriched_18_vs_Normal_enriched_22	up
SLC9A3R1	20.53517	2.9897313	1.044476007431046e-93	2.1682093118965657e-91	HER2_enriched_18_vs_Normal_enriched_22	up
MLPH	20.461906	4.2231097	4.706157286990875e-93	9.544844290684367e-91	HER2_enriched_18_vs_Normal_enriched_22	up
CRABP2	20.264977	3.2983484	2.620904294589248e-91	5.138428475336364e-89	HER2_enriched_18_vs_Normal_enriched_22	up
ANKRD30A	20.112976	4.2013645	5.681023190842889e-90	1.077867249488417e-87	HER2_enriched_18_vs_Normal_enriched_22	up
AGR3	19.66491	6.196998	4.30942595362071e-86	7.759165403228309e-84	HER2_enriched_18_vs_Normal_enriched_22	up
NDUFB4	19.433943	1.599319	3.985426319819836e-84	6.82746091390495e-82	HER2_enriched_18_vs_Normal_enriched_22	up
STARD10	18.916367	2.77446	8.362409394727983e-80	1.3057939271679226e-77	HER2_enriched_18_vs_Normal_enriched_22	up
DYNLL1	18.904404	1.556763	1.04919326073801e-79	1.6098273987584506e-77	HER2_enriched_18_vs_Normal_enriched_22	up
HMGN1	18.825623	1.1549897	4.657094951401984e-79	6.963935628600677e-77	HER2_enriched_18_vs_Normal_enriched_22	up
H2AFJ	18.800907	2.2368734	7.423616932675204e-79	1.0915810064754496e-76	HER2_enriched_18_vs_Normal_enriched_22	up
MIF	18.716143	1.3550514	3.656878211026849e-78	5.2459850433795725e-76	HER2_enriched_18_vs_Normal_enriched_22	up
DCXR	18.69152	2.5304472	5.803422528125833e-78	8.258176653933897e-76	HER2_enriched_18_vs_Normal_enriched_22	up
COX8A	18.587236	1.635128	4.076468726907001e-77	5.7086738639900035e-75	HER2_enriched_18_vs_Normal_enriched_22	up
UQCR10	18.581488	1.5052755	4.5375866165915555e-77	6.304387074784094e-75	HER2_enriched_18_vs_Normal_enriched_22	up
MARCKSL1	18.45986	1.7241085	4.344689372881928e-76	5.8520644262978336e-74	HER2_enriched_18_vs_Normal_enriched_22	up
SPDEF	18.442055	4.4958854	6.040271500836498e-76	7.953775420317913e-74	HER2_enriched_18_vs_Normal_enriched_22	up
HES1	18.409966	2.9054146	1.0929086186629395e-75	1.4284720426894495e-73	HER2_enriched_18_vs_Normal_enriched_22	up
FOXA1	18.34083	4.27724	3.907899272269703e-75	4.960782925122224e-73	HER2_enriched_18_vs_Normal_enriched_22	up
SUMO2	18.156836	1.1683117	1.1337460591537609e-73	1.389232584289452e-71	HER2_enriched_18_vs_Normal_enriched_22	up
SOX4	18.154934	2.144509	1.1736849624321e-73	1.4282531835940968e-71	HER2_enriched_18_vs_Normal_enriched_22	up
COPS9	18.10555	1.6422503	2.8811508849258504e-73	3.4349937408457168e-71	HER2_enriched_18_vs_Normal_enriched_22	up
SH3BGRL	18.055656	3.2154174	7.120925065582356e-73	8.432800186724877e-71	HER2_enriched_18_vs_Normal_enriched_22	up
ANAPC11	18.053015	1.6114664	7.470050877702741e-73	8.787269849137658e-71	HER2_enriched_18_vs_Normal_enriched_22	up
ATP5IF1	17.969316	1.900745	3.3885872896106315e-72	3.907949197724156e-70	HER2_enriched_18_vs_Normal_enriched_22	up
ATP5MC2	17.861137	1.2794257	2.367647851503914e-71	2.594853809924632e-69	HER2_enriched_18_vs_Normal_enriched_22	up
TRPS1	17.857752	2.4774806	2.515669644482501e-71	2.740061165240353e-69	HER2_enriched_18_vs_Normal_enriched_22	up
SRP9	17.787271	1.5528347	8.869579516716577e-71	9.54291040076e-69	HER2_enriched_18_vs_Normal_enriched_22	up
ATP5F1E	17.779528	1.2589065	1.0183506176477108e-70	1.0890179786905367e-68	HER2_enriched_18_vs_Normal_enriched_22	up
ATOX1	17.71002	1.8747348	3.509511558432505e-70	3.708103679553387e-68	HER2_enriched_18_vs_Normal_enriched_22	up
UQCRQ	17.511326	1.2577716	1.1742575431691242e-68	1.2188102558364237e-66	HER2_enriched_18_vs_Normal_enriched_22	up
CUTA	17.43797	1.6079632	4.2490062604392575e-68	4.308834222152339e-66	HER2_enriched_18_vs_Normal_enriched_22	up
AGR2	17.398186	4.7476172	8.515876969369574e-68	8.489415204775487e-66	HER2_enriched_18_vs_Normal_enriched_22	up
SMIM14	17.367071	2.410165	1.4651633622035651e-67	1.4442909232447993e-65	HER2_enriched_18_vs_Normal_enriched_22	up
CA12	17.347643	3.2238383	2.0550728755979184e-67	2.0034122038632746e-65	HER2_enriched_18_vs_Normal_enriched_22	up
C4orf3	17.315647	1.9939566	3.5846819077379995e-67	3.456377719236995e-65	HER2_enriched_18_vs_Normal_enriched_22	up
MT-CO2	17.293947	1.1520344	5.224949725790983e-67	5.010556408238146e-65	HER2_enriched_18_vs_Normal_enriched_22	up
MDK	17.291258	2.2490602	5.4745324611869474e-67	5.193447595572241e-65	HER2_enriched_18_vs_Normal_enriched_22	up
UQCR11	17.29005	1.1994479	5.590237935745019e-67	5.274852854343362e-65	HER2_enriched_18_vs_Normal_enriched_22	up
FASN	17.267841	2.6866622	8.215978256780096e-67	7.71122001813217e-65	HER2_enriched_18_vs_Normal_enriched_22	up
LAGE3	17.23937	2.8380225	1.3449536252839594e-66	1.2556458581024056e-64	HER2_enriched_18_vs_Normal_enriched_22	up
ATP6V1G1	17.185257	1.0579616	3.4242921400182143e-66	3.180086042664283e-64	HER2_enriched_18_vs_Normal_enriched_22	up
SERHL2	16.870779	6.486669	7.381650704339599e-64	6.512461333903611e-62	HER2_enriched_18_vs_Normal_enriched_22	up
TMA7	16.808458	1.1449482	2.1160291637437245e-63	1.8575788355352247e-61	HER2_enriched_18_vs_Normal_enriched_22	up
MIEN1	16.700882	2.2592688	1.291430887747828e-62	1.1225269957788388e-60	HER2_enriched_18_vs_Normal_enriched_22	up
SELENOP	16.6355	2.5478745	3.855216162954849e-62	3.302198504628073e-60	HER2_enriched_18_vs_Normal_enriched_22	up
CRACR2B	16.614912	3.4635835	5.435420636199255e-62	4.610961400275762e-60	HER2_enriched_18_vs_Normal_enriched_22	up
CRIP2	16.580553	2.4481978	9.633882610009582e-62	8.133486059981775e-60	HER2_enriched_18_vs_Normal_enriched_22	up
HMGN2	16.412277	1.8041297	1.562321084627919e-60	1.3003375253896053e-58	HER2_enriched_18_vs_Normal_enriched_22	up
PNKD	16.021152	2.5557761	9.094999077394116e-58	7.164341907170498e-56	HER2_enriched_18_vs_Normal_enriched_22	up
NINJ1	15.927439	2.4696147	4.087585152376647e-57	3.19139115104805e-55	HER2_enriched_18_vs_Normal_enriched_22	up
TMEM14B	15.847219	2.5338073	1.4693896000901405e-56	1.1421753080876887e-54	HER2_enriched_18_vs_Normal_enriched_22	up
LAMTOR4	15.78119	1.7037051	4.192104882025205e-56	3.2301174953421283e-54	HER2_enriched_18_vs_Normal_enriched_22	up
MSRB2	15.780355	3.235053	4.247908995082538e-56	3.25888496601006e-54	HER2_enriched_18_vs_Normal_enriched_22	up
ASAH1	15.684232	2.3990211	1.938960388352784e-55	1.4558704703185052e-53	HER2_enriched_18_vs_Normal_enriched_22	up
AR	15.644075	5.171684	3.6462664431147625e-55	2.714699214715611e-53	HER2_enriched_18_vs_Normal_enriched_22	up
TSC22D3	15.57109	2.767442	1.1444046347435702e-54	8.413758241687623e-53	HER2_enriched_18_vs_Normal_enriched_22	up
MZT2B	15.535895	1.2145349	1.9828296143723907e-54	1.4517439230539767e-52	HER2_enriched_18_vs_Normal_enriched_22	up
PRDX2	15.532001	1.3851808	2.1070289387974548e-54	1.5363027117802106e-52	HER2_enriched_18_vs_Normal_enriched_22	up
CD164	15.403696	2.0194325	1.545753254196886e-53	1.0909926468121622e-51	HER2_enriched_18_vs_Normal_enriched_22	up
GGCT	15.39062	2.0120883	1.892104347185876e-53	1.3301267412786768e-51	HER2_enriched_18_vs_Normal_enriched_22	up
NME3	15.289859	2.0517015	8.934302580915947e-53	6.18218702118674e-51	HER2_enriched_18_vs_Normal_enriched_22	up
TFAP2A	15.202453	2.533828	3.406240749399576e-52	2.329578217951764e-50	HER2_enriched_18_vs_Normal_enriched_22	up
CERS6	15.180891	3.2702787	4.733080104752459e-52	3.224525036616106e-50	HER2_enriched_18_vs_Normal_enriched_22	up
DBI	15.148108	1.4182595	7.797945812119749e-52	5.231739690298592e-50	HER2_enriched_18_vs_Normal_enriched_22	up
NUCB2	15.134939	2.6444395	9.526907502194924e-52	6.36751071500869e-50	HER2_enriched_18_vs_Normal_enriched_22	up
DEGS2	15.124088	4.91129	1.1234542892309666e-51	7.480509786219021e-50	HER2_enriched_18_vs_Normal_enriched_22	up
ALDH3B2	15.10619	6.151238	1.4742096575923897e-51	9.70613037620064e-50	HER2_enriched_18_vs_Normal_enriched_22	up
GPR160	15.095108	4.278818	1.7440316598748007e-51	1.143994001430887e-49	HER2_enriched_18_vs_Normal_enriched_22	up
SLC39A6	15.038212	2.2228851	4.12540975155048e-51	2.696031669115119e-49	HER2_enriched_18_vs_Normal_enriched_22	up
LAMTOR2	14.986789	1.7097276	8.958111719077273e-51	5.811245635408768e-49	HER2_enriched_18_vs_Normal_enriched_22	up
NDUFB1	14.931748	1.570742	2.0482536443808642e-50	1.3190304947116911e-48	HER2_enriched_18_vs_Normal_enriched_22	up
FBP1	14.838778	4.729727	8.224125372957214e-50	5.201243448237636e-48	HER2_enriched_18_vs_Normal_enriched_22	up
ID2	14.806412	2.198226	1.3316211708859891e-49	8.361727957396185e-48	HER2_enriched_18_vs_Normal_enriched_22	up
ERBB2	14.791574	2.4942713	1.6602721587971143e-49	1.0388475972331591e-47	HER2_enriched_18_vs_Normal_enriched_22	up
CXXC5	14.727166	3.2754643	4.3142140348710955e-49	2.6804333325810032e-47	HER2_enriched_18_vs_Normal_enriched_22	up
SCP2	14.589912	1.9635037	3.2561476282876825e-48	1.981197410384006e-46	HER2_enriched_18_vs_Normal_enriched_22	up
MGP	14.518086	1.9482542	9.307251329850171e-48	5.5481908687569686e-46	HER2_enriched_18_vs_Normal_enriched_22	up
CCDC57	14.485813	3.0666912	1.4894944823070828e-47	8.849202067443932e-46	HER2_enriched_18_vs_Normal_enriched_22	up
CD99	14.423632	2.3399427	3.6748544836824885e-47	2.1614269121525842e-45	HER2_enriched_18_vs_Normal_enriched_22	up
SLC40A1	14.337523	4.504469	1.2752512511899355e-46	7.401910633962638e-45	HER2_enriched_18_vs_Normal_enriched_22	up
PDCD4	14.319717	2.0519824	1.6479095816772407e-46	9.533562153670465e-45	HER2_enriched_18_vs_Normal_enriched_22	up
EVL	14.294076	3.5198576	2.382486076326935e-46	1.3649015200256098e-44	HER2_enriched_18_vs_Normal_enriched_22	up
