names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
MRM3	-2.5023382	-1.2218736	0.0123375975418637	0.0494204105848321	TNBC_enriched_33_vs_Normal_enriched_22	down
CLDN8	-2.5137439	-2.0051603	0.0119457133086301	0.0480469822955958	TNBC_enriched_33_vs_Normal_enriched_22	down
DPYD	-2.5182445	-2.3529298	0.011794140285518	0.0475240021324426	TNBC_enriched_33_vs_Normal_enriched_22	down
TRAF3	-2.526136	-1.3097748	0.0115324820150167	0.0465653650240208	TNBC_enriched_33_vs_Normal_enriched_22	down
TRPC4AP	-2.5278623	-1.0860789	0.0114759357078404	0.0464039350187633	TNBC_enriched_33_vs_Normal_enriched_22	down
FGF2	-2.528232	-1.907247	0.0114638507061306	0.0463731420700768	TNBC_enriched_33_vs_Normal_enriched_22	down
PPRC1	-2.532548	-1.1198671	0.0113236913993205	0.0459008809421114	TNBC_enriched_33_vs_Normal_enriched_22	down
SLC9A7	-2.5396996	-1.3984421	0.0110947749239147	0.0451131827476102	TNBC_enriched_33_vs_Normal_enriched_22	down
SIRPA	-2.5422888	-1.1190125	0.0110129106671029	0.0448368271160663	TNBC_enriched_33_vs_Normal_enriched_22	down
CENPT	-2.5454948	-1.055631	0.0109122987938909	0.044540252652835	TNBC_enriched_33_vs_Normal_enriched_22	down
RANBP3	-2.5519683	-1.1005381	0.0107116269840529	0.0438632300147633	TNBC_enriched_33_vs_Normal_enriched_22	down
STX11	-2.5568388	-1.4233594	0.0105628152967077	0.0433443897466064	TNBC_enriched_33_vs_Normal_enriched_22	down
FRMD6-AS1	-2.5685527	-1.1617091	0.0102124178039618	0.0421000161651125	TNBC_enriched_33_vs_Normal_enriched_22	down
SMN1	-2.5831027	-1.8091564	0.0097916191384181	0.0406047284835225	TNBC_enriched_33_vs_Normal_enriched_22	down
LRCH1	-2.6046808	-1.6110656	0.0091959864772178	0.0384783451246167	TNBC_enriched_33_vs_Normal_enriched_22	down
LUCAT1	-2.6072087	-2.4106312	0.0091283723698926	0.0382135540846396	TNBC_enriched_33_vs_Normal_enriched_22	down
P4HA2	-2.6127572	-1.0694139	0.0089815051896098	0.0377599854826462	TNBC_enriched_33_vs_Normal_enriched_22	down
FABP4	-2.616518	-2.8782763	0.0088831653532615	0.0374268034045606	TNBC_enriched_33_vs_Normal_enriched_22	down
SLC16A1-AS1	-2.6256425	-1.1032591	0.0086485567571551	0.0365693227845681	TNBC_enriched_33_vs_Normal_enriched_22	down
BPGM	-2.6287253	-1.0603634	0.0085705578573455	0.0362829878581724	TNBC_enriched_33_vs_Normal_enriched_22	down
PLEKHN1	-2.639761	-1.7012864	0.0082964519211295	0.0352664163209662	TNBC_enriched_33_vs_Normal_enriched_22	down
HIVEP2	-2.6425352	-1.2220956	0.00822878822969	0.0350442579749831	TNBC_enriched_33_vs_Normal_enriched_22	down
PAM16	-2.6604145	-1.2560678	0.0078044551181389	0.0334388985893582	TNBC_enriched_33_vs_Normal_enriched_22	down
PYROXD1	-2.6732998	-1.0949645	0.007510910333734	0.0323717666924124	TNBC_enriched_33_vs_Normal_enriched_22	down
CYP1A1	-2.6790335	-3.2668965	0.0073835027543733	0.0319318397306172	TNBC_enriched_33_vs_Normal_enriched_22	down
RUBCNL	-2.6815612	-5.8687196	0.0073279521690335	0.031722697748429	TNBC_enriched_33_vs_Normal_enriched_22	down
PLEK2	-2.6861234	-1.7580904	0.0072286385336982	0.0314393214018006	TNBC_enriched_33_vs_Normal_enriched_22	down
WFDC3	-2.6862466	-2.5668194	0.0072259712271363	0.0314354690095712	TNBC_enriched_33_vs_Normal_enriched_22	down
GABRE	-2.7082565	-2.5478685	0.0067637718440173	0.0296440025304735	TNBC_enriched_33_vs_Normal_enriched_22	down
SERPINB7	-2.7236695	-4.3849506	0.0064561062513397	0.0284794987012225	TNBC_enriched_33_vs_Normal_enriched_22	down
GJB3	-2.731931	-1.6679708	0.0062964332415434	0.0278587172886245	TNBC_enriched_33_vs_Normal_enriched_22	down
PTGES	-2.7348902	-2.8873546	0.0062401073876708	0.0276580494487445	TNBC_enriched_33_vs_Normal_enriched_22	down
PRDM1	-2.7420418	-3.3305948	0.0061058548227254	0.0271927835302853	TNBC_enriched_33_vs_Normal_enriched_22	down
SPOCD1	-2.7509198	-3.2909994	0.0059428184604223	0.0265470966415576	TNBC_enriched_33_vs_Normal_enriched_22	down
ZC3H7A	-2.7583797	-1.0800179	0.0058088673127196	0.0260277967833768	TNBC_enriched_33_vs_Normal_enriched_22	down
TBC1D8	-2.7654698	-1.5799508	0.0056840877184954	0.0255530516669685	TNBC_enriched_33_vs_Normal_enriched_22	down
TUBB2B	-2.765593	-1.3284799	0.0056819391918992	0.0255499024059789	TNBC_enriched_33_vs_Normal_enriched_22	down
C15orf39	-2.7723749	-1.2831647	0.0055648923463318	0.0250619003193022	TNBC_enriched_33_vs_Normal_enriched_22	down
ASPHD1	-2.814545	-1.6061625	0.0048846357400745	0.0223115189318184	TNBC_enriched_33_vs_Normal_enriched_22	down
MINK1	-2.824779	-1.5260069	0.0047313217119679	0.0216954707920153	TNBC_enriched_33_vs_Normal_enriched_22	down
PGBD5	-2.8362465	-3.3945491	0.0045647208585194	0.0210079550204943	TNBC_enriched_33_vs_Normal_enriched_22	down
IFFO2	-2.836678	-1.2000431	0.0045585559807099	0.0209850561647865	TNBC_enriched_33_vs_Normal_enriched_22	down
PODXL	-2.8527691	-1.5064967	0.0043340083636483	0.0200876221635342	TNBC_enriched_33_vs_Normal_enriched_22	down
MARCO	-2.8532007	-1.5784616	0.0043281265475757	0.0200709048441454	TNBC_enriched_33_vs_Normal_enriched_22	down
PPP2R5B	-2.8659012	-1.4360981	0.0041582408848467	0.0193747452899709	TNBC_enriched_33_vs_Normal_enriched_22	down
ZNF598	-2.8762586	-1.1029708	0.0040241975025955	0.0187948557261243	TNBC_enriched_33_vs_Normal_enriched_22	down
TMEM51	-2.8972821	-1.7398126	0.0037641113445336	0.0176925265514909	TNBC_enriched_33_vs_Normal_enriched_22	down
CFB	-2.8982685	-2.0219817	0.0037522917909506	0.017660493105181	TNBC_enriched_33_vs_Normal_enriched_22	down
KLC2	-2.9532006	-1.3924321	0.0031449751416744	0.0150347023502698	TNBC_enriched_33_vs_Normal_enriched_22	down
ZNHIT6	-2.959489	-1.1306597	0.0030814957595941	0.0147552218936333	TNBC_enriched_33_vs_Normal_enriched_22	down
HSD17B4	-2.978293	-1.070136	0.0028985871098498	0.0139627544508054	TNBC_enriched_33_vs_Normal_enriched_22	down
AC068491.3	-2.9800193	-1.9984936	0.0028823022338108	0.0139032867456514	TNBC_enriched_33_vs_Normal_enriched_22	down
SECTM1	-2.9801426	-1.4454263	0.0028811422303078	0.0139032867456514	TNBC_enriched_33_vs_Normal_enriched_22	down
SLCO3A1	-2.981869	-2.0287008	0.0028649468671839	0.0138346982680515	TNBC_enriched_33_vs_Normal_enriched_22	down
HOTAIRM1	-2.9878492	-1.2869356	0.0028094820866868	0.0136003597858955	TNBC_enriched_33_vs_Normal_enriched_22	down
