names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
H3F3A	27.257156	1.6368091	1.3670392011703982e-163	1.8554928234347444e-160	TNBC_enriched_9_vs_Normal_enriched_22	up
VCAN	23.2244	7.319817	2.5815704599132305e-119	1.5183936921722984e-116	TNBC_enriched_9_vs_Normal_enriched_22	up
COX6C	22.915333	1.9206113	3.2678138724581504e-116	1.6474450222721158e-113	TNBC_enriched_9_vs_Normal_enriched_22	up
EMP2	22.298876	3.3325794	3.7890146694277385e-110	1.759399048475064e-107	TNBC_enriched_9_vs_Normal_enriched_22	up
DBI	21.745392	1.9604189	7.637703877649096e-105	2.9948285538026288e-102	TNBC_enriched_9_vs_Normal_enriched_22	up
NUCKS1	21.3624	2.0736167	2.9904352424569926e-101	1.1226857415564605e-98	TNBC_enriched_9_vs_Normal_enriched_22	up
HMGN1	21.172657	1.517895	1.706564499030177e-99	6.273402205289056e-97	TNBC_enriched_9_vs_Normal_enriched_22	up
CRABP2	21.161083	2.9666214	2.1814953774107554e-99	7.855609374369954e-97	TNBC_enriched_9_vs_Normal_enriched_22	up
MARCKSL1	21.132832	1.8499277	3.970145892860939e-99	1.4010644855906253e-96	TNBC_enriched_9_vs_Normal_enriched_22	up
DYNLL1	20.693724	1.5295299	3.945405081708936e-95	1.265757684850076e-92	TNBC_enriched_9_vs_Normal_enriched_22	up
FXYD3	20.515905	1.9933486	1.5525078874191534e-93	4.643051131103553e-91	TNBC_enriched_9_vs_Normal_enriched_22	up
HES1	20.480131	3.1073363	3.2378327123804487e-93	9.521926368325503e-91	TNBC_enriched_9_vs_Normal_enriched_22	up
LAGE3	20.471676	3.0131063	3.851517187269573e-93	1.096129367247929e-90	TNBC_enriched_9_vs_Normal_enriched_22	up
UQCRH	20.339685	1.5145152	5.7296648393368894e-92	1.5796865014078034e-89	TNBC_enriched_9_vs_Normal_enriched_22	up
HMGN2	20.203136	2.052182	9.187252152942175e-91	2.419538272218876e-88	TNBC_enriched_9_vs_Normal_enriched_22	up
MDK	20.039465	2.479216	2.4943549535625523e-89	6.287556165087318e-87	TNBC_enriched_9_vs_Normal_enriched_22	up
FOS	19.772213	2.33752	5.166040228164056e-87	1.2153970643460636e-84	TNBC_enriched_9_vs_Normal_enriched_22	up
FBLN1	19.697664	7.510748	2.258027380416408e-86	5.174401704863314e-84	TNBC_enriched_9_vs_Normal_enriched_22	up
STMN1	19.19223	2.419635	4.297989172755206e-82	8.922119876854777e-80	TNBC_enriched_9_vs_Normal_enriched_22	up
SUMO2	18.927082	1.0333039	6.824013584909674e-80	1.3529181989408e-77	TNBC_enriched_9_vs_Normal_enriched_22	up
COX6B1	18.740223	1.141975	2.3265207979591583e-78	4.367176540424399e-76	TNBC_enriched_9_vs_Normal_enriched_22	up
COMMD6	18.71996	1.3079402	3.4041614021785487e-78	6.322781888572681e-76	TNBC_enriched_9_vs_Normal_enriched_22	up
TSTD1	18.657022	1.7854501	1.1073117495618506e-77	2.0142799815483354e-75	TNBC_enriched_9_vs_Normal_enriched_22	up
HMGN3	18.563925	2.496365	6.293442616660743e-77	1.1104779497097882e-74	TNBC_enriched_9_vs_Normal_enriched_22	up
PRDX2	18.26082	1.6499869	1.6972224679738221e-74	2.852141947371247e-72	TNBC_enriched_9_vs_Normal_enriched_22	up
CALML5	18.201391	3.8363147	5.0313063518304364e-74	8.220129683152596e-72	TNBC_enriched_9_vs_Normal_enriched_22	up
SOX4	18.198507	1.881204	5.303256700729237e-74	8.584950870125449e-72	TNBC_enriched_9_vs_Normal_enriched_22	up
CDKN2A	18.159382	5.891647	1.0823482125241064e-73	1.7205436225214285e-71	TNBC_enriched_9_vs_Normal_enriched_22	up
ATP5MC2	18.105722	1.1879393	2.872218484500337e-73	4.4456399262288106e-71	TNBC_enriched_9_vs_Normal_enriched_22	up
SOD1	18.074118	1.5527337	5.096425512017296e-73	7.819689405177842e-71	TNBC_enriched_9_vs_Normal_enriched_22	up
COX7C	17.903042	1.0818007	1.1165407705462634e-71	1.6838770851528903e-69	TNBC_enriched_9_vs_Normal_enriched_22	up
ATP5IF1	17.892948	1.8228412	1.3383558475881033e-71	2.0012956720925492e-69	TNBC_enriched_9_vs_Normal_enriched_22	up
CD99	17.647596	2.4650283	1.0617947056762835e-69	1.5356858673490185e-67	TNBC_enriched_9_vs_Normal_enriched_22	up
C6orf48	17.292467	1.9781238	5.3607234418749976e-67	7.50714008983209e-65	TNBC_enriched_9_vs_Normal_enriched_22	up
IGFBP5	17.274658	4.6082797	7.300379624868345e-67	1.0142929014236376e-64	TNBC_enriched_9_vs_Normal_enriched_22	up
PBX1	17.233118	2.9724028	1.4985299581833105e-66	2.06574696188629e-64	TNBC_enriched_9_vs_Normal_enriched_22	up
TMEM258	17.183197	1.1992282	3.54804090070937e-66	4.853114859923785e-64	TNBC_enriched_9_vs_Normal_enriched_22	up
MZT2B	17.171545	1.2139969	4.337152025537985e-66	5.886849806970596e-64	TNBC_enriched_9_vs_Normal_enriched_22	up
EFHD1	17.17061	3.3534133	4.407605487002532e-66	5.936809070088525e-64	TNBC_enriched_9_vs_Normal_enriched_22	up
MGST3	17.161842	1.543498	5.12614876425235e-66	6.852340526153995e-64	TNBC_enriched_9_vs_Normal_enriched_22	up
LGALS1	17.102102	2.068558	1.4314681810302936e-65	1.8991169965623704e-63	TNBC_enriched_9_vs_Normal_enriched_22	up
COX8A	17.044466	1.3145186	3.842360080396389e-65	5.059585344671215e-63	TNBC_enriched_9_vs_Normal_enriched_22	up
TTYH1	16.851645	4.7911215	1.020360402747592e-63	1.3046564714841494e-61	TNBC_enriched_9_vs_Normal_enriched_22	up
TTC3	16.820158	1.8549088	1.736950141327209e-63	2.2049269959509786e-61	TNBC_enriched_9_vs_Normal_enriched_22	up
SLC9A3R1	16.784267	2.0922894	3.181326337434981e-63	3.981170441421293e-61	TNBC_enriched_9_vs_Normal_enriched_22	up
TCTEX1D2	16.58603	3.68589	8.794580322866458e-62	1.0628792451847854e-59	TNBC_enriched_9_vs_Normal_enriched_22	up
OST4	16.558907	1.0478768	1.3808046172591178e-61	1.6462363156444008e-59	TNBC_enriched_9_vs_Normal_enriched_22	up
IER2	16.384869	1.3837543	2.452969269583416e-60	2.8289308994640117e-58	TNBC_enriched_9_vs_Normal_enriched_22	up
S100P	16.119799	3.0894158	1.8521169488131706e-58	2.0553838718118483e-56	TNBC_enriched_9_vs_Normal_enriched_22	up
MSRB2	16.072958	2.8505359	3.947934723053361e-58	4.326789328464382e-56	TNBC_enriched_9_vs_Normal_enriched_22	up
