names	scores	logfoldchanges	pvals	pvals_adj
LINC01843	192.94489	0.2845585	0.0	0.0
AC007493.1	190.49883		0.0	0.0
PAX2	190.41498		0.0	0.0
KNDC1	190.25453		0.0	0.0
AC008703.1	190.03526		0.0	0.0
CFAP99	189.30191	2.14193	0.0	0.0
AL033397.2	189.15335	1.2418435	0.0	0.0
KRT37	188.87534		0.0	0.0
RIIAD1	188.31532		0.0	0.0
SLC7A13	188.1108		0.0	0.0
LINC02130	187.73488		0.0	0.0
LRFN2	187.66948		0.0	0.0
GRPR	187.65974		0.0	0.0
AC037198.2	187.43929		0.0	0.0
AC106738.2	186.83134	-1.7758671	0.0	0.0
CYP2B6	186.42453		0.0	0.0
AC097059.1	186.31978		0.0	0.0
AL360268.2	186.27678	-3.1341026	0.0	0.0
LINC02568	185.44461	-2.7550864	0.0	0.0
C2orf27B	184.82803	2.1494937	0.0	0.0
ADAMTSL5	184.71558		0.0	0.0
EHMT2-AS1	184.49405	-0.5967575	0.0	0.0
LINC02343	184.27704		0.0	0.0
LINC00160	184.25723		0.0	0.0
NCBP2L	183.66432		0.0	0.0
AL391832.1	183.38017	0.9381105	0.0	0.0
KCNJ11	183.22377		0.0	0.0
TTC39A-AS1	182.80617	-5.6433253	0.0	0.0
AC083906.3	182.73227	-5.9137406	0.0	0.0
AC124067.4	181.94836		0.0	0.0
AC007255.1	181.68336	0.50940317	0.0	0.0
CYP21A2	181.43549	-4.188809	0.0	0.0
C4A	181.10048		0.0	0.0
LINC01117	180.61095		0.0	0.0
LINC01016	179.63734		0.0	0.0
AC009119.1	179.21977		0.0	0.0
AC131212.1	178.71558	-1.3741066	0.0	0.0
LCN12	178.70586		0.0	0.0
PRLH	177.05397		0.0	0.0
AC120498.4	176.70337		0.0	0.0
C4B	176.58568		0.0	0.0
RGS11	176.44801		0.0	0.0
AC044784.1	176.42278	-21.581528	0.0	0.0
ANKRD30B	175.40471	-3.3316772	0.0	0.0
PLA2G4F	175.25658	0.13244863	0.0	0.0
GP2	175.13239	-3.5707893	0.0	0.0
TCTEX1D4	174.71794	0.7608599	0.0	0.0
TUBA3E	174.51968	-23.891397	0.0	0.0
TMEM9B-AS1	174.01823	0.20084324	0.0	0.0
GRIK3	173.97002	-9.07952	0.0	0.0
CST4	173.3439	-0.44856572	0.0	0.0
Z82246.1	173.00986	7.66562	0.0	0.0
AC008268.1	172.92384		0.0	0.0
POTEI	172.70726		0.0	0.0
MAG	172.56322	-0.25701964	0.0	0.0
LINC01087	172.41672	-6.010027	0.0	0.0
AP005121.1	171.65555		0.0	0.0
LINC01513	171.64075	0.61831045	0.0	0.0
AL034374.1	171.59409	1.3976711	0.0	0.0
HPX	171.31668		0.0	0.0
BX324167.1	170.93176		0.0	0.0
AC084128.1	170.6818		0.0	0.0
BAIAP3	170.65451		0.0	0.0
ADAMTS15	170.54955		0.0	0.0
AC040162.3	170.38814	-2.5143173	0.0	0.0
DRAIC	169.80426		0.0	0.0
AC008555.1	169.14726	-3.7017655	0.0	0.0
GNA14	168.9354		0.0	0.0
CCDC196	168.59474		0.0	0.0
AC060814.3	167.96422		0.0	0.0
AC104938.1	167.75082		0.0	0.0
PLIN4	167.55396	-4.496498	0.0	0.0
AL390860.1	167.44482	-2.5186272	0.0	0.0
TTC6	166.9028	-3.0703626	0.0	0.0
AC106795.2	166.88847		0.0	0.0
CACNA2D2	166.20554		0.0	0.0
ADRA2A	165.98634	0.64489686	0.0	0.0
ABCC8	165.89044	-3.6199489	0.0	0.0
CPO	165.87285	-3.2454855	0.0	0.0
SPINK4	165.67155		0.0	0.0
AC104574.2	165.65201	-1.3920213	0.0	0.0
SLC22A23	165.45683	-1.8528838	0.0	0.0
BCAS1	165.18204		0.0	0.0
AC008663.1	164.96983		0.0	0.0
AC092667.1	164.7403	1.2577735	0.0	0.0
UBXN10	164.02217		0.0	0.0
ZBTB42	164.01875	-1.5812488	0.0	0.0
CACNG1	164.0115	1.3280478	0.0	0.0
TUBA3D	163.87941		0.0	0.0
DOK7	163.53131	-4.827109	0.0	0.0
IGFALS	163.5301		0.0	0.0
PLPPR3	163.2611	-3.253695	0.0	0.0
CAPN13	163.25641	-2.6985798	0.0	0.0
UNC5A	162.96558	-0.80939275	0.0	0.0
LINC00504	162.79462		0.0	0.0
OTOR	162.7659	-0.8190824	0.0	0.0
RET	162.42017	-3.4876635	0.0	0.0
LINC01411	161.90175		0.0	0.0
FRMPD2	161.81824		0.0	0.0
DNAH7	161.46608		0.0	0.0
CHST8	161.06068	-2.3482425	0.0	0.0
TEKT5	160.82434		0.0	0.0
AC109927.1	160.51009	1.1563592	0.0	0.0
KCNF1	160.23323		0.0	0.0
ABCC11	159.97708		0.0	0.0
SYTL5	159.88234		0.0	0.0
