names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
COX6C	26.861977	3.9480486	6.112099082275311e-159	1.5406855472392557e-155	ER_enriched_37_vs_Normal_enriched_22	up
MALAT1	26.33009	2.4205873	8.678011659679605e-153	1.1778731979618974e-149	ER_enriched_37_vs_Normal_enriched_22	up
GATA3	25.001625	4.777569	5.86970261667757e-138	4.9319477462512255e-135	ER_enriched_37_vs_Normal_enriched_22	up
SERF2	24.366648	1.8454615	3.8620839032385724e-131	2.523943350838689e-128	ER_enriched_37_vs_Normal_enriched_22	up
CRIP1	24.245378	6.9381413	7.397764727940594e-130	4.501157193948682e-127	ER_enriched_37_vs_Normal_enriched_22	up
AGR3	24.083569	8.374356	3.7162380770682277e-128	2.0491569021834025e-125	ER_enriched_37_vs_Normal_enriched_22	up
XBP1	22.885012	2.6003492	6.55233342855934e-116	2.7527600796887986e-113	ER_enriched_37_vs_Normal_enriched_22	up
ATP5F1E	22.79864	1.9787341	4.729918023347517e-115	1.8968046254992487e-112	ER_enriched_37_vs_Normal_enriched_22	up
SMIM22	22.102016	4.0559435	3.022577738943615e-108	9.876552630307423e-106	ER_enriched_37_vs_Normal_enriched_22	up
GRIA2	21.647448	31.130995	6.424124881083966e-104	1.8892280587787764e-101	ER_enriched_37_vs_Normal_enriched_22	up
FOS	21.409296	3.7298086	1.0945324178616447e-101	3.0176600801826123e-99	ER_enriched_37_vs_Normal_enriched_22	up
HSPB1	21.274931	3.4733293	1.9379713460394528e-100	5.181137030434264e-98	ER_enriched_37_vs_Normal_enriched_22	up
TFF3	21.166409	5.4496207	1.9485298989066564e-99	4.982871024088108e-97	ER_enriched_37_vs_Normal_enriched_22	up
NEAT1	19.759026	1.8125937	6.708835361242958e-87	1.1957313126174947e-84	ER_enriched_37_vs_Normal_enriched_22	up
TMA7	19.614073	1.6856759	1.1725667476304389e-85	2.008732064265932e-83	ER_enriched_37_vs_Normal_enriched_22	up
CST3	19.58858	2.971078	1.935182255869613e-85	3.2832972023864728e-83	ER_enriched_37_vs_Normal_enriched_22	up
H2AFJ	19.522127	3.109147	7.121057765458741e-85	1.1634357802918471e-82	ER_enriched_37_vs_Normal_enriched_22	up
UQCR11	19.10106	1.7645441	2.474050039035984e-81	3.637884411565828e-79	ER_enriched_37_vs_Normal_enriched_22	up
H3F3A	18.955343	1.1335166	3.989447668715044e-80	5.676919686651367e-78	ER_enriched_37_vs_Normal_enriched_22	up
COX7C	18.64503	1.4248627	1.3857924599542947e-77	1.811282070806928e-75	ER_enriched_37_vs_Normal_enriched_22	up
ANKRD30A	18.469149	4.6271796	3.658014850736323e-76	4.677222611684233e-74	ER_enriched_37_vs_Normal_enriched_22	up
UQCRQ	18.074205	1.7345777	5.088394303331116e-73	5.985647832151836e-71	ER_enriched_37_vs_Normal_enriched_22	up
FXYD3	18.05296	2.1524553	7.477430732476486e-73	8.737699687056133e-71	ER_enriched_37_vs_Normal_enriched_22	up
IGFBP5	17.70357	6.9753566	3.935561540231655e-70	4.367483231282236e-68	ER_enriched_37_vs_Normal_enriched_22	up
CPB1	17.615664	13.035569	1.86783738644702e-69	2.034443869373929e-67	ER_enriched_37_vs_Normal_enriched_22	up
