epi_cluster	dominant_subtype	dominant_percent	total_cells
44	ER	100.0	123
47	ER	100.0	19
49	ER	100.0	16
43	ER	96.1038961038961	154
37	ER	92.18181818181819	550
50	ER	90.9090909090909	11
26	ER	81.84210526315789	760
29	ER	81.58640226628894	706
36	ER	79.8941798941799	567
14	ER	75.32861476238625	989
38	ER	69.7495183044316	519
10	ER	65.59633027522935	1090
32	ER	63.12594840667678	659
24	ER	60.574412532637076	766
7	ER	59.80707395498393	1244
21	ER	59.50118764845605	842
35	ER	59.183673469387756	588
42	ER	57.41239892183289	371
34	ER	56.9377990430622	627
19	ER	56.25	912
40	ER	55.632183908045974	435
16	ER	55.02590673575129	965
0	ER	46.225972808251285	4266
28	ER	36.40054127198917	739
12	ER	36.354961832061065	1048
30	ER	35.17964071856288	668
20	ER	33.86727688787185	874
45	HER2	87.65432098765432	81
18	HER2	48.06687565308255	957
15	HER2	43.343653250774	969
51	Normal	100.0	10
52	Normal	100.0	9
53	Normal	100.0	5
22	Normal	85.85365853658537	820
8	Normal	81.88585607940446	1209
25	Normal	81.0704960835509	766
31	Normal	80.78078078078079	666
1	Normal	76.17288511267085	2707
23	Normal	68.67321867321867	814
6	Normal	67.60450160771704	1244
11	Normal	66.72985781990522	1055
4	Normal	58.71137409598948	1521
13	Normal	56.39024390243902	1025
2	Normal	55.62805872756933	1839
17	Normal	50.10438413361169	958
46	Normal	48.484848484848484	33
3	Normal	42.80373831775701	1605
39	Normal	42.8	500
27	Normal	37.2	750
33	TNBC	59.87748851454824	653
9	TNBC	55.062761506276146	1195
5	TNBC	42.31354642313546	1314
48	mER	100.0	16
41	mER	38.19444444444444	432
