epi_leiden	BRCA1_preneoplastic	ER	HER2	Normal	TNBC	mER
0	142	1972	146	1461	78	467
1	319	190	57	2062	61	18
2	122	470	90	1023	96	38
3	45	673	61	687	13	126
4	167	308	42	893	73	38
5	39	368	42	291	556	18
6	72	239	24	841	68	0
7	26	744	301	77	73	23
8	75	85	27	990	21	11
9	20	355	92	55	658	15
10	17	715	88	177	49	44
11	91	155	15	704	88	2
12	42	381	76	377	150	22
13	51	278	23	578	90	5
14	0	745	67	9	10	158
15	4	346	420	147	42	10
16	15	531	107	166	37	109
17	52	203	47	480	165	11
18	7	338	460	120	24	8
19	3	513	121	87	122	66
20	29	296	248	135	92	74
21	13	501	50	205	54	19
22	39	36	31	704	10	0
23	101	107	18	559	27	2
24	11	464	25	159	76	31
25	35	83	22	621	5	0
26	3	622	8	99	19	9
27	17	205	11	279	3	235
28	60	269	123	235	38	14
29	0	576	79	15	36	0
30	39	235	69	231	75	19
31	97	19	10	538	2	0
32	6	416	53	64	18	102
33	0	151	15	81	391	15
34	3	357	195	23	12	37
35	0	348	145	18	72	5
36	2	453	82	0	23	7
37	0	507	10	14	8	11
38	4	362	47	79	24	3
39	19	210	27	214	28	2
40	6	242	43	54	8	82
41	7	138	16	86	20	165
42	1	213	29	80	36	12
43	0	148	0	0	0	6
44	0	123	0	0	0	0
45	0	5	71	1	4	0
46	5	7	0	16	0	5
47	0	19	0	0	0	0
48	0	0	0	0	0	16
49	0	16	0	0	0	0
50	0	10	1	0	0	0
51	0	0	0	10	0	0
52	0	0	0	9	0	0
53	0	0	0	5	0	0
