group	names	scores	logfoldchanges	pvals	pvals_adj
0	FTL	22.11502		2.266022930190711e-108	2.2660229301907107e-105
0	AC060814.3	0.6265519		0.530953003614434	1.0
0	AC083967.1	0.21724208	-2.0312877	0.8280196993564	1.0
0	GNAT3	0.17827328	-1.7340047	0.8585083635061556	1.0
0	MAGEA1	0.058077417	-0.40716872	0.9536869617216823	1.0
0	AL512791.2	0.054772526	-0.2911786	0.9563196878831008	1.0
0	AC110609.1	0.05256413	-0.45397818	0.9580791980681921	1.0
0	LINC02024	0.051827997	-0.7549797	0.9586657472769841	1.0
0	LINC02384	0.05182444	-0.40876767	0.9586685809026121	1.0
0	CD19	0.05182444	-0.31401694	0.9586685809026121	1.0
1	ETS1	37.558716		1.0153154438669434e-308	2.0306308877338868e-305
1	ADAMTS9	24.561121		3.289916073643946e-133	3.289916073643946e-130
1	PRDM1	15.570594		1.1533151199419004e-54	7.688767466279335e-52
1	CSF3	12.360037		4.2995824327687307e-35	2.1497912163843652e-32
1	MMP3	9.942186		2.7277228470204386e-23	9.092409490068129e-21
1	ADAMTS4	7.6447387		2.0936980291714532e-14	5.981994369061295e-12
1	MT1A	7.2412734		4.44491959343754e-13	1.111229898359385e-10
1	ANGPT2	7.1249614		1.0410984543077486e-12	2.313552120683886e-10
1	GNG11	7.040188		1.919810291170306e-12	3.6572168944802877e-10
1	FYN	7.0336866		2.011469291964158e-12	3.6572168944802877e-10
2	CD83	28.047222		4.318633621239848e-173	8.637267242479697e-170
2	HRCT1	23.266554		9.6724813074488e-120	9.6724813074488e-117
2	FTL	17.247732		1.1637922459307264e-66	7.758614972871509e-64
2	APOE	15.374432		2.429672311686182e-53	1.214836155843091e-50
2	COL2A1	14.904315		3.0896701812253837e-50	1.2358680724901534e-47
2	RNASE1	12.03499		2.3266132072792433e-33	7.7553773575974775e-31
2	PCP4	11.1118965		1.0980226545762358e-28	3.137207584503531e-26
2	FGFBP2	9.2976885		1.435323229734443e-20	3.5883080743361076e-18
2	LIMD2	8.301275		1.029993985631194e-16	2.288875523624876e-14
2	RGCC	7.673495		1.6737227604872106e-14	3.347445520974421e-12
3	CREM	67.359566		0.0	0.0
3	MMP3	1.939288		0.05246628355945479	1.0
3	ETS1	1.326346	0.99463797	0.18472509701478768	1.0
3	FAM237B	0.8123457		0.4165933089197734	1.0
3	EPGN	0.67114395		0.5021288302777419	1.0
3	MMP1	0.6127178		0.5400629518757463	1.0
3	MEG3	0.5820044	-1.4450616	0.5605636839971802	1.0
3	PSG9	0.55949235		0.5758257479832967	1.0
3	CSF3	0.41924042	0.8904195	0.6750404362818927	1.0
3	MT1A	0.39702		0.691352699351367	1.0
4	FGB	0.67083657		0.502324663111863	1.0
4	ZBTB20-AS2	0.65634054		0.5116050358155934	1.0
4	FGG	0.5747164		0.5654831247094885	1.0
4	AC008703.1	0.5588079		0.5762928079547869	1.0
4	CNTN2	0.5249242		0.5996358763323562	1.0
4	AC060814.3	0.28054768		0.7790573403214521	1.0
4	IL24	0.27840734		0.7806996926020613	1.0
4	AC083967.1	0.20178427		0.8400853849759216	1.0
4	GNAT3	0.12330936	-2.671822	0.9018621313368655	1.0
4	AC023055.1	0.10836454	-1.6088759	0.9137065284187676	1.0
5	CCDC78	25.815199		5.986622504039861e-147	1.1973245008079723e-143
5	VSTM2A	17.981228		2.7337385099241833e-72	2.733738509924183e-69
5	CST9	15.639857		3.895985005020461e-55	2.5973233366803073e-52
5	DIO1	8.954836		3.4024032165787863e-19	1.7012016082893932e-16
5	HLA-DRB5	6.565559		5.1838025693117476e-11	1.7279341897705825e-08
5	CYP4F8	6.3073897		2.837801863187012e-10	8.108005323391462e-08
5	HLA-DQB1	6.2101545		5.293250645390684e-10	1.323312661347671e-07
5	FN1	5.6432405		1.6687911234510083e-08	3.7084247187800187e-06
5	FTL	5.6149573		1.9661073681076396e-08	3.932214736215279e-06
5	CYSRT1	5.4996824		3.8047591373845055e-08	6.917743886153647e-06
6	TCN1	25.898548		6.915395054897152e-148	1.3830790109794304e-144
6	OPRPN	22.974264		8.431599402810215e-117	8.431599402810215e-114
6	RGCC	13.883065		8.023766678315526e-44	5.349177785543684e-41
6	ETS1	13.189653	6.7128825	1.0064630643412641e-39	5.032315321706321e-37
6	APOE	11.191316		4.4971106769743876e-29	1.798844270789755e-26
6	CSN3	10.398877		2.508708580973514e-25	8.362361936578379e-23
6	LALBA	9.771383		1.4939851965087777e-22	4.268529132882222e-20
6	SPARCL1	8.172301		3.0256132858043537e-16	7.564033214510884e-14
6	CSN1S1	7.63787		2.2084467510611513e-14	4.9076594468025586e-12
6	APOC1	7.5123434		5.807808953935759e-14	1.0705118291236382e-11
7	CTSS	52.572914		0.0	0.0
7	ETS1	5.2339373	3.8281755	1.659367107765619e-07	0.0001659367107765619
7	C1R	4.607895		4.067659505093137e-06	0.002711773003395425
7	RGCC	3.861368		0.00011275397312995235	0.056376986564976174
7	PLPP3	3.3228085		0.0008911606269158392	0.29705354230527975
7	APOE	3.1461866	-1.2311474	0.0016541445588617392	0.47261273110335406
7	TNFRSF1B	2.4473214		0.014392240398107766	1.0
7	C1S	2.36273		0.01814087410061907	1.0
7	LTB	2.2913568		0.021942791657580788	1.0
7	PRDM1	2.0186884	5.4527097	0.04351962210044113	1.0
8	TAT-AS1	20.035727		2.6888518012329636e-89	5.377703602465927e-86
8	DCD	19.983213		7.709869363543095e-89	7.709869363543096e-86
8	TRIM55	14.497578		1.255012024867327e-47	8.366746832448846e-45
8	CAMP	8.128941		4.3305682766442327e-16	2.1652841383221164e-13
8	CCL3L1	7.0922647		1.319349194718739e-12	5.277396778874956e-10
8	CARTPT	6.7887526		1.1310721162842446e-11	3.770240387614149e-09
8	TRGC1	6.612394		3.781546571115779e-11	1.080441877461651e-08
8	SLC16A10	4.469068		7.856113818927508e-06	0.0017458030708727796
8	HLA-DQB1	4.14017		3.470487229900606e-05	0.006940974459801213
8	APOC1	3.610466		0.00030564723904434637	0.05094120650739106
9	MT1A	20.160894		2.159396232721988e-90	4.318792465443976e-87
9	AKR1C1	16.055696		5.215002024793606e-58	5.2150020247936055e-55
9	CRISPLD2	12.364315		4.0767286636023604e-35	2.71781910906824e-32
9	C11orf96	6.8444386		7.67764494406701e-12	3.838822472033505e-09
9	MMP3	4.509558		6.496271160385186e-06	0.0025985084641540744
9	MEG3	2.666364		0.007667661390287912	1.0
9	FAM237B	1.4864991		0.13714714736982425	1.0
9	RGS5	0.92053884		0.35729122985496453	1.0
9	IL24	0.85809755		0.3908386137579679	1.0
9	ETS1	0.8329705	-0.030840542	0.4048613825616021	1.0
10	AC008663.1	32.54698		2.310281900840661e-232	4.6205638016813224e-229
10	TRH	14.576124		3.985096623759234e-48	3.9850966237592336e-45
10	GAGE2A	8.287489		1.1566462959000142e-16	7.710975306000095e-14
10	GAGE12E	5.750432		8.901578794245897e-09	4.450789397122949e-06
10	FTL	4.231827		2.3180078647341665e-05	0.009136849675373931
10	GAGE12H	2.876246		0.004024360970141037	1.0
10	LINC02043	2.6788979		0.007386490602833715	1.0
10	GAGE12D	1.6893113		0.0911597897422583	1.0
10	EIF1AY	1.4911051		0.13593391600116284	1.0
10	GAGE13	1.386398		0.16562543703950505	1.0
11	BPIFB1	41.01464		0.0	0.0
11	LINC00052	10.74313		6.3842385911485636e-27	6.3842385911485636e-24
11	TRH	9.578329	7.628312	9.862774284640346e-22	6.575182856426898e-19
11	CADM2	7.6777515		1.6190527236201175e-14	8.095263618100587e-12
11	TPH1	3.8249605		0.00013079301605056992	0.03782378514053612
11	FGF4	3.8219821		0.00013238324799187643	0.03782378514053612
11	CORO6	3.6287785		0.0002847653712950546	0.07119134282376366
11	MUC5B	2.8644254		0.004177664532609617	0.9145111096187212
11	CAMP	2.8356988	7.507403	0.004572555548093606	0.9145111096187212
11	COL1A1	2.4000828		0.016391367215117747	1.0
12	HOXB-AS3	29.505716		2.4316354251116574e-191	4.863270850223315e-188
12	CASP14	22.268633		7.443755314657823e-110	7.443755314657823e-107
12	FTL	12.673569		8.285690751132803e-37	5.523793834088535e-34
12	ZNF350-AS1	7.2465506		4.275200634895617e-13	2.1376003174478083e-10
12	ADAMTS4	5.354676		8.570995159262882e-08	3.4283980637051526e-05
12	FN1	4.903931		9.39374205798196e-07	0.00031312473526606534
12	HOXD1	4.523194		6.091347272741688e-06	0.0017403849350690539
12	JAKMIP1	4.2690945		1.9626817638085975e-05	0.0049067044095214936
12	SPRY1	4.1313696		3.606085369067409e-05	0.007887033563512629
12	IGLC2	4.066423		4.774022032339213e-05	0.00868004005879857
13	CNTD1	43.07805		0.0	0.0
13	FTL	5.326419		1.0016807479466006e-07	0.00010016807479466006
13	AC005920.1	2.4309247		0.01506034821649404	1.0
13	COL1A1	1.6478705	-3.4992404	0.09937924356672238	1.0
13	FN1	1.613983	-5.9179	0.10653111181406846	1.0
13	CST9	1.4266012	2.6584978	0.15369488362510528	1.0
13	ASCL1	1.2335602	3.041561	0.21736684597760159	1.0
13	IGLC2	1.1765455	-2.6755161	0.23937696532461572	1.0
13	BPIFB1	1.1298008	1.5590812	0.25856017581853774	1.0
13	SERPINA6	1.0687418	4.2962284	0.2851860193995678	1.0
14	LINC00052	8.374268	8.356976	5.55683043824413e-17	1.1113660876488261e-13
14	CADM2	7.269154	8.757235	3.6174531346919983e-13	3.6174531346919984e-10
