names	scores	logfoldchanges	pvals	pvals_adj
FTL	14.457368	-1.5540485	2.2524952881743217e-47	4.504990576348643e-44
LINC00052	2.5316234		0.01135358900915859	1.0
TRH	1.823183		0.06827568881179347	1.0
CADM2	1.2013954		0.22959787958917244	1.0
AC060814.3	0.97535455		0.329384407739867	1.0
COL1A1	0.90410054	-0.57590467	0.36594208516380833	1.0
FN1	0.69156843	-0.2851482	0.48920838584785975	1.0
CORO6	0.6900397		0.49016923210396646	1.0
IGLC2	0.6047558	-0.14333427	0.5453412447880446	1.0
AC083967.1	0.4922601		0.6225354917404843	1.0
CAMP	0.47467938	-1.348931	0.6350155245181501	1.0
CYP4F8	0.43049133	-1.6869355	0.6668382839453195	1.0
SYCE1	0.39293945		0.6943641979773638	1.0
FGF4	0.36919507		0.7119823336624762	1.0
NPPC	0.34167048	3.5570047	0.732598896159961	1.0
AC004540.1	0.3393704	-3.0226502	0.7343307247941249	1.0
BX284668.6	0.3335472	-1.1901253	0.7387212609532807	1.0
HIST3H2BB	0.32363808	-1.6970139	0.7462120576078879	1.0
HBB	0.31645292	-0.7827831	0.7516587598371152	1.0
PYY	0.3072873	-1.9446311	0.7586246908880365	1.0
HAMP	0.3072873	-1.4358239	0.7586246908880365	1.0
GRIA2	0.2988722	-0.42084718	0.7650375625004999	1.0
CST9	0.2988722	-0.4177643	0.7650375625004999	1.0
PCSK1	0.2988722		0.7650375625004999	1.0
HLA-DRB5	0.2982051	-0.12445358	0.7655466284404471	1.0
MYT1	0.28129148	-1.5833937	0.7784868457675778	1.0
IQGAP3	0.27223012	-0.71998566	0.7854450893202914	1.0
DUSP19	0.27212587	-1.2641697	0.7855252314607577	1.0
C2orf50	0.27211198	-0.9078754	0.7855359172512597	1.0
FBLN1	0.27081254	-0.112196356	0.7865352169341984	1.0
LINC02361	0.2629186	-1.1950442	0.7926133302549798	1.0
VSTM2A	0.24613005	-0.2450945	0.8055815668328037	1.0
GNG3	0.24613005	-2.5175135	0.8055815668328037	1.0
