names	scores	logfoldchanges	pvals	pvals_adj
FTL	7.858689	-6.121153	3.881751329989546e-15	7.763502659979092e-12
DCD	3.056209		0.0022415479821851145	1.0
LINC00052	2.2168765		0.026631535182823487	1.0
TRIM55	1.790554		0.0733648849141157	1.0
HLA-DRB5	1.3401015	-2.9432137	0.18021235518931922	1.0
IGLC2	1.2186418	-1.1134585	0.22298020560902765	1.0
CCL3L1	1.1937027		0.23259428162206985	1.0
NPPC	0.9308657	5.148294	0.3519230486761925	1.0
TCAP	0.7673803		0.44285543130532357	1.0
CADM2	0.7041565		0.4813352980597101	1.0
HLA-DQB1	0.6702529	-0.32898697	0.5026965560397172	1.0
TAT-AS1	0.63277704	-5.489434	0.5268792661127295	1.0
TBX10	0.59685135		0.550606628723287	1.0
SLC16A10	0.58451664		0.55887276680036	1.0
KLRG1	0.54791695		0.5837489253264364	1.0
IGHM	0.53585184	-0.9304878	0.5920609344723886	1.0
FN1	0.51340675	-0.26700404	0.6076668261044614	1.0
CCDC78	0.51158684	-0.96774226	0.6089401738636763	1.0
UGT2B28	0.49942067		0.6174830551862325	1.0
SEMA3G	0.48705226		0.626221287558206	1.0
PECAM1	0.4750883		0.6347240483356129	1.0
RAB37	0.4748861		0.6348681761268254	1.0
IGLC3	0.46238285	-0.39776406	0.6438067839670991	1.0
FBLN1	0.4506211	-0.29899633	0.6522626663660089	1.0
HLA-DQA2	0.4263224	-1.6280888	0.669872941416412	1.0
AC243829.1	0.4263224		0.669872941416412	1.0
CARTPT	0.4263224		0.669872941416412	1.0
FAM13C	0.4263224		0.669872941416412	1.0
FAM19A2	0.4259517		0.6701430559773458	1.0
AL603756.1	0.4143247		0.678636323020843	1.0
HCLS1	0.4021922		0.6875425745151726	1.0
CPLANE2	0.40199		0.6876913841881573	1.0
IGF1	0.40199		0.6876913841881573	1.0
AC005899.8	0.40199		0.6876913841881573	1.0
AL022322.2	0.3896553	-2.602986	0.6967914551448777	1.0
TPH1	0.38921717		0.6971154949443646	1.0
CCDC152	0.37765762		0.7056849623909798	1.0
COL1A1	0.37728688	-0.17547016	0.705960410678105	1.0
HIST3H2BB	0.365424		0.7147949211254068	1.0
ZBTB20-AS2	0.3652555		0.7149206903441768	1.0
TSPAN8	0.35376334		0.7235162537189768	1.0
LINC00545	0.34105793		0.7330599819676984	1.0
PCK1	0.34105793		0.7330599819676984	1.0
AMELX	0.34105793		0.7330599819676984	1.0
PLXDC1	0.34105793		0.7330599819676984	1.0
C5orf49	0.32902652	-0.412503	0.7421356391257502	1.0
COL5A2	0.32895914	-2.4441082	0.7421865856393448	1.0
CXCL12	0.3285884	-1.1286985	0.7424668116508384	1.0
SPRY1	0.328521	-0.1213031	0.7425177655033821	1.0
LINC00243	0.328521		0.7425177655033821	1.0
LINC02361	0.3165233		0.7516053314012257	1.0
PTGS1	0.3043571		0.7608558334934448	1.0
AGAP2	0.3041549		0.7610098748159726	1.0
CREM	0.2968417	0.123013146	0.766587358476826	1.0
ODAM	0.29232574	-1.7068927	0.7700375896964426	1.0
AL137003.1	0.28022695		0.7793034038444463	1.0
APOE	0.2572763	0.05584661	0.7969654886015403	1.0
SPINK2	0.25579342		0.7981103418806451	1.0
LINC00939	0.25579342		0.7981103418806451	1.0
TNP1	0.25579342		0.7981103418806451	1.0
CAMP	0.25579342	-0.5491022	0.7981103418806451	1.0
ADAMTS14	0.25579342		0.7981103418806451	1.0
MYT1	0.25579342		0.7981103418806451	1.0
TTR	0.25579342		0.7981103418806451	1.0
KRT24	0.25579342		0.7981103418806451	1.0
CCL4L2	0.25579342	-1.7095225	0.7981103418806451	1.0
MNX1	0.25579342	-1.698818	0.7981103418806451	1.0
APELA	0.25579342		0.7981103418806451	1.0
CBY3	0.25579342		0.7981103418806451	1.0
AC104532.2	0.24396425		0.8072585044531607	1.0
IQGAP3	0.24366094	-1.016279	0.8074934255195955	1.0
PYY	0.24362724		0.8075195289324459	1.0
AL139383.1	0.23146105		0.8169566460008681	1.0
FAM183A	0.23139364	-0.70792216	0.8170090045463185	1.0
HLA-DQA1	0.23139364	-0.21046153	0.8170090045463185	1.0
LIMD2	0.2301804	-0.09531791	0.8179515977882357	1.0
HTRA1	0.21939595	-1.1237506	0.8263416231434815	1.0
FCGBP	0.21932855		0.826394124267009	1.0
GZMM	0.20739827		0.8356988395392128	1.0
LYZ	0.20692645	-0.37853396	0.8360673048196365	1.0
RASSF1-AS1	0.19465914	-0.61955446	0.845659799478683	1.0
LINC01970	0.18232444	-0.2728328	0.8553281203438349	1.0
GIMAP2	0.17066376	-3.036906	0.8644881572814536	1.0
BANK1	0.17052896		0.864594162687073	1.0
CST4	0.17052896	-1.5636941	0.864594162687073	1.0
AC011933.3	0.17052896		0.864594162687073	1.0
FGL2	0.17052896	-1.4387316	0.864594162687073	1.0
NRG3	0.17052896		0.864594162687073	1.0
AL139099.1	0.17052896		0.864594162687073	1.0
A2M-AS1	0.17052896		0.864594162687073	1.0
AC100803.3	0.17052896		0.864594162687073	1.0
ASPN	0.17052896	-2.1360362	0.864594162687073	1.0
BCL11B	0.17052896	-0.8226027	0.864594162687073	1.0
TDO2	0.17052896	-1.9987731	0.864594162687073	1.0
TMLHE-AS1	0.17052896		0.864594162687073	1.0
MCCD1	0.17052896	-3.7804515	0.864594162687073	1.0
LINC02077	0.17052896		0.864594162687073	1.0
TTC16	0.17052896		0.864594162687073	1.0
UGT2B11	0.17052896	-0.31715727	0.864594162687073	1.0
AC005759.1	0.17052896		0.864594162687073	1.0
LST1	0.17052896	-1.4426758	0.864594162687073	1.0
AL035701.1	0.17052896		0.864594162687073	1.0
IGLV2-23	0.17052896		0.864594162687073	1.0
TRGC1	0.17052896	-0.7023552	0.864594162687073	1.0
EGR4	0.17052896	-0.76726174	0.864594162687073	1.0
IGKV1-39	0.17052896		0.864594162687073	1.0
IGKV1-9	0.17052896		0.864594162687073	1.0
C16orf54	0.17052896		0.864594162687073	1.0
AC246785.3	0.17039415		0.8647001705295984	1.0
IGHA1	0.16998973	-0.042775612	0.8650182086599043	1.0
CYP4F8	0.15843016	-1.2750415	0.8741178462256801	1.0
CD6	0.15843016		0.8741178462256801	1.0
PTGDS	0.15843016		0.8741178462256801	1.0
RASAL3	0.15843016		0.8741178462256801	1.0
GSG1	0.15836276		0.8741709554032351	1.0
COLQ	0.15836276		0.8741709554032351	1.0
AC016738.1	0.15836276		0.8741709554032351	1.0
DPF3	0.15836276		0.8741709554032351	1.0
ITGB7	0.15836276		0.8741709554032351	1.0
EMCN	0.15836276		0.8741709554032351	1.0
TPSD1	0.15836276		0.8741709554032351	1.0
Z82206.1	0.15832905		0.8741975102046128	1.0
AC005520.2	0.15829536	-1.4222577	0.8742240651476849	1.0
PLAC1	0.14653358		0.8835001838480547	1.0
KCNAB2	0.14623027	-1.6792763	0.8837396131128534	1.0
BX284668.6	0.14619656	-0.6423926	0.8837662170204321	1.0
LINC00482	0.14619656		0.8837662170204321	1.0
AC104187.1	0.14619656		0.8837662170204321	1.0
NLRP12	0.14619656		0.8837662170204321	1.0
AC099518.1	0.14619656		0.8837662170204321	1.0
GABRD	0.14616287	-1.1498675	0.8837928210590892	1.0
FAM180A	0.14612916	-4.7766113	0.8838194252287951	1.0
PLIN4	0.14612916	-2.5821037	0.8838194252287951	1.0
AC004540.1	0.14606176	-1.5682737	0.8838726339612354	1.0
C1R	0.14592695	-0.051503975	0.8839790529974013	1.0
AC000068.1	0.13403037	-3.571895	0.8933785602844759	1.0
THBS4	0.13403037		0.8933785602844759	1.0
NOX5	0.13403037	-6.4877424	0.8933785602844759	1.0
AL138760.1	0.13403037		0.8933785602844759	1.0
CD226	0.13403037		0.8933785602844759	1.0
ORM1	0.13389556	-0.23740879	0.8934851586959878	1.0
SAMSN1	0.12203268	-1.7319723	0.9028731373928859	1.0
HIST1H3A	0.12186417		0.9030065904107755	1.0
POU3F1	0.12186417		0.9030065904107755	1.0
LY96	0.10983278	-0.4276067	0.912541992476461	1.0
LCK	0.109731674	-0.7700303	0.9126221772393005	1.0
AC079354.1	0.109697975		0.9126489056913094	1.0
RGS5	0.10956317	-0.3323255	0.9127558204871904	1.0
EPGN	0.10949577	-0.028183753	0.9128092784774183	1.0
LAG3	0.09773399	-1.1226807	0.9221435263916372	1.0
AL022323.3	0.097599186	-1.1996546	0.9222505738494873	1.0
PLIN1	0.09753178		0.9223040981066913	1.0
AC005837.1	0.09753178	-1.6779197	0.9223040981066913	1.0
AC121338.2	0.097430676	-1.6171896	0.9223843851521686	1.0
ADAMTS4	0.09712736	0.006302747	0.9226252510306463	1.0
CNTN2	0.09695885	-0.6978313	0.9227590684751549	1.0
SLIT1	0.08526448	-1.9862968	0.9320511303146067	1.0
PLAC9	0.08526448	-0.74915683	0.9320511303146067	1.0
AC090152.1	0.08526448	-0.9256169	0.9320511303146067	1.0
TOX	0.08526448	-1.2216877	0.9320511303146067	1.0
AL512625.2	0.08526448	-1.8841435	0.9320511303146067	1.0
JAKMIP1	0.08526448	-0.2859231	0.9320511303146067	1.0
MRVI1	0.08526448	-1.7099094	0.9320511303146067	1.0
JAK3	0.08526448	-1.1673372	0.9320511303146067	1.0
HBB	0.08526448	-0.3368627	0.9320511303146067	1.0
CFAP99	0.08526448	-0.9888838	0.9320511303146067	1.0
LINC00632	0.08526448	-0.59224945	0.9320511303146067	1.0
CXCL9	0.08526448	-1.1958815	0.9320511303146067	1.0
WISP1	0.08526448	-4.4763546	0.9320511303146067	1.0
AC245014.1	0.08526448		0.9320511303146067	1.0
AMTN	0.08526448	-1.881393	0.9320511303146067	1.0
MUC7	0.08526448		0.9320511303146067	1.0
SCT	0.08526448		0.9320511303146067	1.0
CYSRT1	0.08526448	-0.46060687	0.9320511303146067	1.0
OR51E1	0.08526448		0.9320511303146067	1.0
PDE3B	0.08526448	-0.59234446	0.9320511303146067	1.0
MUC12	0.08526448	-1.0059427	0.9320511303146067	1.0
SLC26A3	0.08526448	-0.16202143	0.9320511303146067	1.0
AL157902.1	0.08526448		0.9320511303146067	1.0
AC012617.1	0.08526448		0.9320511303146067	1.0
RGS7BP	0.08526448		0.9320511303146067	1.0
CLIC5	0.08526448		0.9320511303146067	1.0
PRODH	0.08526448	-1.2177157	0.9320511303146067	1.0
GSG1L	0.08526448	-2.1639917	0.9320511303146067	1.0
CHD5	0.08526448	-2.381535	0.9320511303146067	1.0
BX323043.1	0.08526448		0.9320511303146067	1.0
LINC00158	0.08526448		0.9320511303146067	1.0
AC004160.2	0.08526448		0.9320511303146067	1.0
SAMD3	0.08526448		0.9320511303146067	1.0
LINC01869	0.08526448		0.9320511303146067	1.0
FPR3	0.08526448	-1.2026018	0.9320511303146067	1.0
AL512288.1	0.08526448		0.9320511303146067	1.0
LINC00898	0.08526448		0.9320511303146067	1.0
AP001605.1	0.08526448		0.9320511303146067	1.0
AC104170.1	0.08526448		0.9320511303146067	1.0
