names	scores	logfoldchanges	pvals	pvals_adj
FTL	10.653312		1.6826940364688062e-26	3.365388072937612e-23
APOE	8.202468		2.3550177189199754e-16	2.3550177189199756e-13
HRCT1	3.5154622		0.0004389892014978227	0.2926594676652151
PCP4	2.497234		0.012516630832317452	1.0
VCAN	2.4751537		0.01331788909435179	1.0
CREM	2.3276036	-0.75090116	0.019933158606498805	1.0
FN1	2.2800548		0.022604435532105567	1.0
RGCC	2.2177064		0.026574853058625347	1.0
C1R	2.1109		0.034780913249358496	1.0
FBLN1	2.0238261		0.042988040343811096	1.0
COL2A1	1.9740782		0.04837284902686849	1.0
SERPING1	1.8855186		0.05935986170631021	1.0
LIMD2	1.880526		0.06003643591324011	1.0
NPPC	1.8339578	3.1016607	0.06666025732393428	1.0
IGLC3	1.4990358		0.13386433446917434	1.0
IGLC2	1.4490799		0.1473152799844916	1.0
LCK	1.4334482		0.1517297941792845	1.0
BCL11B	1.3662854		0.1718493730311832	1.0
C1S	1.3140413		0.1888323295797698	1.0
FGFBP2	1.1438462		0.2526874303818305	1.0
RNASE1	1.1184076		0.26339296127323475	1.0
HLA-DQB1	1.0198923	-0.9893941	0.30777950784777686	1.0
BIN2	1.0163262		0.3094740712236512	1.0
VSIR	0.84247583		0.39952164964422665	1.0
HTN1	0.8006923		0.4233097823921613	1.0
TMEM100	0.8006923		0.4233097823921613	1.0
THBS2	0.75528324		0.4500790682707795	1.0
KRTDAP	0.6863077		0.4925190857283943	1.0
CDH19	0.6863077		0.4925190857283943	1.0
AC103702.2	0.6798589		0.49659380412663867	1.0
SH2D2A	0.6732318		0.5007998399301894	1.0
IGHA1	0.597124	-1.4084706	0.5504246175350695	1.0
IQGAP3	0.57501376		0.5652819857410456	1.0
LINC01118	0.5719231		0.5673740771201048	1.0
TGFB2-AS1	0.55902547		0.5761443318283127	1.0
LAG3	0.55388427		0.5796580558042947	1.0
AP000787.1	0.5524875		0.5806143849268751	1.0
FYN	0.5523092	-0.669891	0.580736522662221	1.0
INPP5D	0.5395602		0.5895003825424707	1.0
ADCY7	0.5394413		0.589582383073758	1.0
MEF2C	0.52645457		0.5985724296789344	1.0
IGHM	0.5206298	-1.6296196	0.6026246787079067	1.0
AC104532.2	0.51973826		0.6032460094480757	1.0
CTSS	0.5133786	-0.36274785	0.6076865010049196	1.0
ACAP1	0.5063652	-1.4201769	0.6126003238881048	1.0
COL7A1	0.49471572		0.6208008134267884	1.0
MUC5B	0.48086712	-0.638218	0.630610947389359	1.0
ZBTB20-AS2	0.47492352		0.6348414926174273	1.0
ADCYAP1	0.4575385		0.6472840536383433	1.0
CES1	0.4575385		0.6472840536383433	1.0
AKR1B15	0.4575385		0.6472840536383433	1.0
TOX	0.45108968		0.6519249241308642	1.0
AL512791.2	0.44464085		0.6565793144806495	1.0
PXDNL	0.44464085		0.6565793144806495	1.0
BGLAP	0.43162438		0.6660144422981714	1.0
CRISPLD2	0.43162438	-1.1055982	0.6660144422981714	1.0
CD83	0.41872674	-0.2904373	0.6754158397222776	1.0
ETS1	0.41263455	-0.17046677	0.679874374152522	1.0
PLPP3	0.41239682	-0.18474594	0.6800485941467459	1.0
TNFRSF4	0.41198078		0.6803535202358106	1.0
ITGB7	0.4055914		0.6850428524891612	1.0
EGR4	0.39985582		0.6892627148135075	1.0
CADM2	0.39854822	1.2776735	0.6902261163988272	1.0
LINC02043	0.38683933		0.6988751577651962	1.0
KCNAB2	0.38657185		0.6990731872351115	1.0
