names	scores	logfoldchanges	pvals	pvals_adj
FTL	15.674768		2.2504257783790302e-55	4.5008515567580604e-52
GAGE2A	7.7550573		8.8303685481404e-15	8.830368548140399e-12
TRH	6.6067624	3.9936388	3.928162140260487e-11	2.6187747601736578e-08
GAGE12E	5.5291896		3.2171375196345924e-08	1.6085687598172962e-05
AC008663.1	5.3953786	4.772474	6.837912901441921e-08	2.7351651605767684e-05
NPPC	4.699198	4.7928905	2.6118533663964016e-06	0.0008706177887988005
SERPINA6	3.129502	4.08008	0.0017510283755869016	0.5002938215962576
GAGE12H	2.591434		0.009557688428810628	1.0
EIF1AY	2.3304849		0.019780541765149796	1.0
LINC02043	1.9118977		0.05588931793673331	1.0
GAGE12D	1.5079608		0.1315645698979526	1.0
LINC01644	1.2994151		0.19380149737812757	1.0
GAGE13	1.2794819		0.20072742412932398	1.0
COL2A1	1.1088558		0.2674924009426132	1.0
GAGE1	0.8225241		0.41077870369200364	1.0
HIST1H2AI	0.6457601		0.5184347364626862	1.0
CST9	0.60004056		0.5484791994059464	1.0
TTTY15	0.41126204		0.6808804113683197	1.0
TTTY14	0.41126204		0.6808804113683197	1.0
UPK1A	0.3908301		0.6959228159626285	1.0
MAGEA1	0.36556625		0.7146887665698105	1.0
LINC01970	0.35844296	-2.062088	0.7200118360657364	1.0
BGLAP	0.3126641		0.754535881253278	1.0
LINC01521	0.3115956		0.7553478796350581	1.0
NLRP12	0.28019384		0.7793287866550783	1.0
ZFY	0.2741747		0.7839503822485457	1.0
LINC00632	0.24772361	-2.7944593	0.8043482661774093	1.0
HLA-DRB5	0.24073093	-0.7431401	0.8097636661923541	1.0
MCCD1	0.23331085		0.8155200300092976	1.0
SCGB1C2	0.22847891		0.8192739551715154	1.0
SMCO3	0.22847891		0.8192739551715154	1.0
NYAP2	0.20804699		0.835192278152504	1.0
AGAP2	0.18880229	-1.7946898	0.8502477799152739	1.0
PAGE1	0.18278313		0.8549681917184168	1.0
DDX3Y	0.18278313		0.8549681917184168	1.0
KDM5D	0.18278313		0.8549681917184168	1.0
APOE	0.182237	-0.14003345	0.8553967332525054	1.0
RASSF1-AS1	0.18173838	-0.83095634	0.855788047558252	1.0
AC009812.3	0.16837037	-4.5527325	0.8662919151834839	1.0
Z82206.1	0.1623512		0.8710292912049664	1.0
CNTN2	0.16008364	-1.7106566	0.8728151932797077	1.0
PXDNL	0.15633205	-1.3438439	0.8757712989266152	1.0
OR11G2	0.15633205	-2.0212445	0.8757712989266152	1.0
SLC4A10	0.15633205		0.8757712989266152	1.0
AC005920.1	0.15514483	-1.0521045	0.8767071385672057	1.0
LINC00243	0.14810467	-1.4377558	0.8822601662616273	1.0
ACAP1	0.14246541	-0.5586618	0.8867123984967471	1.0
LINC02397	0.13708735	-1.9216022	0.8909617576613799	1.0
UTY	0.13708735		0.8909617576613799	1.0
AC024230.1	0.13708735		0.8909617576613799	1.0
AC126323.2	0.13708735		0.8909617576613799	1.0
AC090844.3	0.13708735		0.8909617576613799	1.0
ATP2A1	0.12988096	-1.8742023	0.8966606031968684	1.0
AC008703.1	0.12988096	-0.62916034	0.8966606031968684	1.0
NME1-NME2	0.123861805	-0.76154774	0.9014246968260583	1.0
HIST1H3J	0.123861805	-2.6333919	0.9014246968260583	1.0
CHD5	0.123861805	-2.1073954	0.9014246968260583	1.0
AP001432.1	0.123861805	-3.11176	0.9014246968260583	1.0
AL049780.2	0.116655424	-1.4271656	0.907133112681938	1.0
PYY	0.114281006		0.9090150404141462	1.0
AC100801.1	0.1107075	-0.28122815	0.9118483010649583	1.0
MOG	0.110636264	-2.212325	0.9119047895366277	1.0
AJ239322.1	0.110636264		0.9119047895366277	1.0
HIST1H2BI	0.110636264	-2.8417072	0.9119047895366277	1.0
CARMIL2	0.10347737	-1.9634879	0.9175841036174286	1.0
AC106738.2	0.09741072	-1.4784018	0.9224002279734229	1.0
AL031595.2	0.09741072	-1.0001168	0.9224002279734229	1.0
GSG1	0.09741072	-1.8477627	0.9224002279734229	1.0
AC005520.2	0.09622351	-1.0085809	0.9233430566529716	1.0
