names	scores	logfoldchanges	pvals	pvals_adj
FTL	36.438625		1.0416701777976418e-290	2.0833403555952837e-287
FN1	15.122763		1.1463136298925977e-51	2.865784074731494e-49
IGLC2	14.387639		6.187206584577112e-47	1.2374413169154222e-44
COL1A1	10.875958		1.5007088889194465e-27	2.308782906029918e-25
IGLC3	7.631005		2.3293066940889902e-14	2.3293066940889904e-12
IGHA1	7.5329814		4.959459049725001e-14	4.723294333071429e-12
FBLN1	7.507866		6.009892060657628e-14	5.46353823696148e-12
BPIFB1	6.771722		1.272587197497157e-11	1.1065975630410062e-09
GRIA2	6.334332		2.3837165182250087e-10	1.7657159394259325e-08
MUC5B	6.0412145		1.5295833154588917e-09	1.0197222103059278e-07
HOXB-AS3	5.8091373		6.279553249304544e-09	3.80578984806336e-07
VSTM2A	5.637978		1.720585210622462e-08	9.83191548927121e-07
HLA-DRB5	5.0648355	-3.4578943	4.087532244897722e-07	2.2094768891339038e-05
CCDC78	4.9506793		7.395496152570049e-07	3.892366396089499e-05
LINC00052	4.8455157		1.262831147029745e-06	6.314155735148725e-05
C5orf49	4.694158		2.6770690614828283e-06	0.00013058873470647942
CNTD1	4.6415057		3.458797315954983e-06	0.0001625630365987141
CST9	4.219106		2.4527250911460883e-05	0.0010437128047430164
DIO1	4.1716285		3.024302048928911e-05	0.0012601258537203795
ASCL1	4.08171		4.470562220911495e-05	0.001788224888364598
TRH	3.693444		0.0002212372402507933	0.00834857510380352
CASP14	3.678833		0.0002343035207281932	0.008677908175118267
PYDC1	3.5664892		0.00036179570578368187	0.012478471857919123
SPRY1	3.5534039		0.00038028000718425236	0.012890847701161098
ACAP1	3.4633684		0.0005334573213235658	0.017490403977821832
CADM2	3.3878102		0.0007045299044157796	0.02272677111018644
CAMP	3.24693		0.0011665711926914892	0.037034006117190134
AC100801.1	3.1402943		0.0016877823023630422	0.05274319694884507
COL5A2	3.0463789		0.002316157345976109	0.07126637987618796
IGHM	2.9731767		0.0029473481733567593	0.08931358101081088
TUBA3E	2.628399		0.00857878547885494	0.248660448662462
CCL3L1	2.6000612	-4.358328	0.009320715051374742	0.2625553535598519
LYZ	2.5695107		0.010184227540747524	0.27524939299317636
C2orf50	2.3780887		0.017402635170334056	0.4405730422869381
UGT2B11	2.3323863		0.019680380157321316	0.4920095039330329
GLRA3	2.2926729		0.021866846200195397	0.5399221283998863
HBB	2.2109008		0.027042708048993	0.6362990129174823
COL2A1	2.1926296	-2.3587034	0.028334085510653983	0.6589322211779997
IQGAP3	2.1782706		0.029385904756390194	0.6755380403767861
CCL4L2	2.1713364		0.029905752336308957	0.6796761894615673
ZNF350-AS1	2.1464024		0.031840885326832664	0.7091836821720278
CYP2A7	2.1454954		0.03191326569774125	0.7091836821720278
LINC01644	2.1102614		0.03483585217542213	0.7577405938280054
MNX1	2.1100266		0.03485606731608825	0.7577405938280054
AC004540.1	2.0700564		0.03844705147511584	0.8180223718109753
VCAN	2.0489066	-0.7781588	0.04047125306830297	0.8471485315898005
CYSRT1	2.0469487		0.040663129516310424	0.8471485315898005
HLA-DQA1	2.0099854	-1.847075	0.044432717856008004	0.9161385124950103
FAM183A	1.9805301		0.047643986102454274	0.9723262469888627
CORO6	1.8747963		0.06082075222828348	1.0
HIST3H2BB	1.8310565		0.06709211853014913	1.0
CYP4F8	1.736163		0.08253500538504542	1.0
BX284668.6	1.7123035		0.08684073962448961	1.0
HOXD1	1.7110581		0.08707036964699003	1.0
FOXJ1	1.692444		0.09056136625620129	1.0
AC005920.1	1.647396		0.09947667639354785	1.0
HRCT1	1.5639338	-0.82689655	0.11783309835138553	1.0
IGHE	1.5562683		0.1196443068099424	1.0
CYP2A6	1.5351663		0.12474300169194144	1.0
HAMP	1.5129033		0.13030421022709154	1.0
MUC2	1.480535		0.13873052224151508	1.0
C1orf194	1.4547992		0.14572486318378325	1.0
PCK1	1.4125708		0.1577819585943403	1.0
GABRD	1.3969417		0.1624311297346812	1.0
SLC26A3	1.3894203		0.16470497392118755	1.0
C1QC	1.2836688		0.19925789759013623	1.0
