names	scores	logfoldchanges	pvals	pvals_adj
DCD	23.95423		8.34844970686093e-127	1.669689941372186e-123
HLA-DQB1	13.9609785		2.697068313287407e-44	2.697068313287407e-41
HLA-DRB5	12.927108		3.16501697926278e-38	2.11001131950852e-35
IGLC2	11.21582	2.8860426	3.410113735573555e-29	1.7050568677867776e-26
CCL3L1	10.094193		5.861066107578634e-24	2.3444264430314534e-21
IGHA1	9.002964	3.5488157	2.1970437687375203e-19	7.323479229125067e-17
IGHM	8.7838745	6.2500625	1.5793838410288025e-18	4.512525260082292e-16
TRIM55	8.765159		1.8651439813197975e-18	4.662859953299494e-16
UGT2B11	8.434254	6.6972427	3.333224754759745e-17	7.407166121688322e-15
SPRY1	8.225453	4.000053	1.9445415975989347e-16	3.889083195197869e-14
HLA-DQA1	8.20813		2.2465977524494504e-16	4.084723186271728e-14
CREM	8.046018	-1.2529346	8.553191593713152e-16	1.4255319322855255e-13
TAT-AS1	7.4031506		1.3299060100258858e-13	2.0460092461936707e-11
IGLC3	6.683379	2.5212283	2.334943151784934e-11	3.335633073978477e-09
TSPAN8	6.5465817		5.886899367714112e-11	7.84919915695215e-09
TCAP	6.3334804		2.396917974600421e-10	2.996147468250526e-08
CARTPT	6.271563		3.5744157348179435e-10	4.205194982138757e-08
LIMD2	5.6209126		1.8995130758862162e-08	2.110570084318018e-06
TRGC1	5.2669673		1.386958984470407e-07	1.4599568257583233e-05
TDO2	5.041185		4.62658419754268e-07	4.62658419754268e-05
CST4	4.5345173		5.77353133367374e-06	0.000520539550845398
SLC16A10	4.526876		5.986204834722077e-06	0.000520539550845398
PECAM1	4.5043187		6.65862179906575e-06	0.0005548851499221458
PLPP3	4.0863824	-0.54789597	4.381517334706962e-05	0.0033703979497745865
CCDC78	3.987858	2.2414773	6.667253113048935e-05	0.004938706009665878
ADAMTS4	3.910249		9.220102242313745e-05	0.006585787315938389
UGT2B28	3.5228603		0.00042691632332282446	0.02668227020767653
CYP4F8	3.315122	4.418479	0.0009160320702292223	0.055517095165407405
AC243829.1	3.2173827		0.0012936589617420968	0.07609758598482921
PLXDC1	2.9448526		0.003231084728186931	0.17950470712149616
BCL11B	2.9101942		0.0036120431859730713	0.19524557762016603
FAM13C	2.789437		0.00527997450044234	0.2707679230996072
VCAN	2.5879169	-1.9715071	0.00965582896097544	0.482791448048772
BAALC	2.5259337		0.011539126740092243	0.5457650673212096
PYDC1	2.520046	1.4941896	0.011733948947406004	0.5457650673212096
ODAM	2.483551		0.013007972542872592	0.5781321130165596
SLC26A3	2.4283645	2.4947116	0.015167091521140602	0.6594387617887219
CCL4L2	2.3667426	4.2645164	0.017945413047712334	0.763634597774993
HLA-DQA2	2.2835412		0.02239850903206618	0.9142248584516808
COL5A2	2.2594657	1.8915828	0.023854431051996285	0.9541772420798513
JAKMIP1	2.1143944		0.034481589124512824	1.0
RASSF1-AS1	2.065682		0.03885853268230738	1.0
MNX1	2.039329	4.0879917	0.041417200499269606	1.0
TBX10	1.9621882		0.04974056671061796	1.0
GALNTL6	1.9613037		0.049843606983371334	1.0
