names	scores	logfoldchanges	pvals	pvals_adj
FTL	46.86374		0.0	0.0
APOE	29.466032		7.846483989163705e-191	7.846483989163704e-188
VCAN	28.026154		7.80202592007653e-173	5.201350613384353e-170
HRCT1	23.947979		9.699233893996885e-127	4.849616946998442e-124
FGFBP2	19.889448		5.022400624130795e-88	2.008960249652318e-85
FBLN1	16.632174		4.0753399107707525e-62	1.3584466369235842e-59
LIMD2	14.962332		1.2941129449224618e-50	3.235282362306154e-48
RNASE1	14.7299595		4.139533029523432e-49	9.19896228782985e-47
COL2A1	13.759724		4.452224706177362e-43	8.904449412354725e-41
PCP4	12.741132		3.492892236896833e-37	6.350713157994242e-35
CD83	12.589775		2.4035729106343083e-36	4.00595485105718e-34
FN1	10.568376		4.176656159322915e-26	6.425624860496792e-24
IGLC2	9.720595		2.463372235396042e-22	2.8980849828188723e-20
C1R	9.1840725	4.156198	4.1509008441849394e-20	4.369369309668357e-18
C1S	9.087668	5.8980374	1.0118530368404906e-19	1.0118530368404905e-17
BCL11B	8.78063		1.6256074638611559e-18	1.5481975846296723e-16
SERPING1	7.231646		4.771740765864873e-13	4.337946150786248e-11
BIN2	6.442391		1.1760599099718375e-10	9.408479279774699e-09
IGHA1	5.9988127		1.9876521056467816e-09	1.528963158189832e-07
HLA-DQB1	5.981406		2.2121917116137607e-09	1.6386605271213043e-07
IGLC3	5.6273355		1.830147388063749e-08	1.2621706124577579e-06
VSIR	4.965582		6.849545716749314e-07	4.280966072968321e-05
THBS2	4.7942076		1.633192957487687e-06	9.332531185643924e-05
TMEM100	4.508627		6.524859037333026e-06	0.00036249216874072366
KRTDAP	4.4827666		7.368146056386688e-06	0.0003982781652100913
SPRR2A	4.1926856		2.7567154077349423e-05	0.0014509028461762855
C9orf24	4.0843167		4.420667002818185e-05	0.002267008719393941
MUC5B	3.9855707		6.731813596895687e-05	0.0033659067984478435
EGR4	3.8001933		0.00014458331929004923	0.007052844843417035
LYZ	3.7818625		0.00015565928416750772	0.007412346865119415
COL1A1	3.7268891	-0.77084994	0.00019385773288355075	0.009016638738769803
ORM2	3.5367146		0.00040513726826184017	0.017614663837471314
SH2D2A	3.5169854		0.0004364779544509459	0.018573529976635996
HLA-DQA1	3.267265		0.0010859197015718402	0.045246654232160004
HLA-DRB5	3.2550635		0.0011336702048984834	0.046272253261162584
OLFML2B	3.0407324		0.0023600352989016273	0.09440141195606509
PXDNL	3.026		0.002478123752981642	0.0971813236463389
GNG2	3.0167456		0.002555042078657751	0.09827084917914426
CDH19	2.9798012		0.002884354738461319	0.10884357503627619
LINC01970	2.956995		0.0031065320704516198	0.11505674335006
IGHM	2.8309286		0.004641309837048696	0.16670687224465397
