names	scores	logfoldchanges	pvals	pvals_adj
FTL	22.265593	2.5621061	7.966400907448663e-110	1.5932801814897325e-106
GAGE2A	7.80976		5.7296868101438196e-15	3.8197912067625465e-12
TRH	7.1390615	4.2424755	9.397042912534487e-13	4.698521456267244e-10
GAGE12E	5.833635		5.42327713645834e-09	1.5495077532738115e-06
AC008663.1	4.9352746		8.00380332263587e-07	0.00014552369677519765
SERPINA6	4.5713615		4.845657528647025e-06	0.0007399816510121132
NPPC	4.557368		5.1798715570847924e-06	0.0007399816510121132
CST9	3.7441206	3.4763055	0.00018102671855287645	0.02132188305202365
EIF1AY	3.204898		0.0013511030334129289	0.12282754849208445
LINC01970	2.775026		0.005519726738294571	0.39784155282998696
GAGE12H	2.5535922		0.010661805805366976	0.7352969520942741
LINC01644	1.7052962	2.9219024	0.08813920201818246	1.0
LINC02043	1.675511		0.09383400976845839	1.0
GAGE12D	1.5484339		0.12151786116114593	1.0
CNTD1	1.4147513	2.37242	0.15714143839613215	1.0
GAGE13	1.1523229		0.24918840478532345	1.0
HIST1H2AI	1.1379035		0.25516082351254654	1.0
GAGE1	0.97227246		0.33091502189401767	1.0
COL2A1	0.67322767		0.5008024735173784	1.0
MAGEA1	0.54072547		0.5886968133790524	1.0
TTTY15	0.54015136		0.5890926495910318	1.0
TTTY14	0.54015136		0.5890926495910318	1.0
UPK1A	0.52084005		0.6024782018652866	1.0
AGAP2	0.46849456		0.6394309501772896	1.0
DDX3Y	0.4188326		0.6753384770320946	1.0
KDM5D	0.36010092		0.7187716720410917	1.0
ZFY	0.3240908		0.7458692772802347	1.0
FOXJ1	0.3180809	2.1841705	0.7504235753066081	1.0
SCGB1C2	0.21606055		0.8289405528979139	1.0
NLRP12	0.21523055		0.82958757118326	1.0
CSAG3	0.20720156		0.8358524552531632	1.0
AP006621.1	0.19891667		0.8423279274907168	1.0
GRID2	0.19834256		0.8427770566465163	1.0
LINC00482	0.1912059		0.8483642758572163	1.0
