group	names	scores	logfoldchanges	pvals	pvals_adj
0	FTL	15.608511		6.3706079310074804e-55	4.247071954004987e-52
0	AC060814.3	0.7889114		0.43016378932132004	0.9994893163590445
0	GNAT3	0.20889129	-2.9494665	0.8345331065220287	0.9994893163590445
0	AC083967.1	0.1957457	-1.733316	0.8448092094801677	0.9994893163590445
0	LINC02024	0.06192983	-0.9130537	0.9506187128209889	0.9994893163590445
0	AC090971.2	0.05984216	-0.57315457	0.9522813443723381	0.9994893163590445
0	AC009093.2	0.05984216	-0.6565048	0.9522813443723381	0.9994893163590445
0	AC116914.2	0.05438674	-0.49035424	0.9566270455605914	0.9994893163590445
0	AP001605.1	0.051018976	-0.58087176	0.9593103989128018	0.9994893163590445
0	AC106801.1	0.044923503	-0.8904524	0.9641682826036934	0.9994893163590445
1	ETS1	37.925674		0.0	0.0
1	ADAMTS9	24.907185		6.21933229348435e-137	6.219332293484351e-134
1	PRDM1	15.453023		7.198709065604781e-54	4.799139377069854e-51
1	CSF3	12.5334835		4.896403158119833e-36	1.9585612632479332e-33
1	MMP3	8.704046		3.2025630332879443e-18	1.0675210110959815e-15
1	ADAMTS4	7.3324547		2.2597453605687724e-13	5.674681839588709e-11
1	MT1A	7.331856		2.2698727358354839e-13	5.674681839588709e-11
1	GNG11	7.1140046		1.1272350148870737e-12	2.5049666997490527e-10
1	ANGPT2	7.0164466		2.275815122795711e-12	4.551630245591422e-10
1	MMP1	6.72785		1.7218806228065342e-11	3.130692041466426e-09
2	CREM	67.95937		0.0	0.0
2	ETS1	1.5916103		0.11147228816710515	0.9999705882937594
2	MMP3	0.94852155		0.34286399932222	0.9999705882937594
2	CSF3	0.79288405		0.42784536467538536	0.9999705882937594
2	MMP1	0.777126		0.437084435865397	0.9999705882937594
2	FAM237B	0.7347488		0.46249252207336844	0.9999705882937594
2	EPGN	0.7030719		0.4820109325363602	0.9999705882937594
2	MT1A	0.5982994		0.5496401696663352	0.9999705882937594
2	PSG9	0.5256631		0.5991223055119415	0.9999705882937594
2	IL24	0.5090572		0.6107121348273898	0.9999705882937594
3	AC004540.1	0.80701196		0.4196595825613194	0.9997375691010791
3	ZBTB20-AS2	0.61926484		0.5357419099920562	0.9997375691010791
3	AC008703.1	0.45643198		0.6480793696903	0.9997375691010791
3	CNTN2	0.45351014		0.6501814370098224	0.9997375691010791
3	FAM19A2	0.33104223		0.7406125870616436	0.9997375691010791
3	AC060814.3	0.32831007		0.7426772300768321	0.9997375691010791
3	AC083967.1	0.20344293		0.8387888420782675	0.9997375691010791
3	IL24	0.17278989		0.8628165848784525	0.9997375691010791
3	AC023055.1	0.09685544	-1.4462821	0.9228411952005998	0.9997375691010791
3	GNAT3	0.07385607	-1.0554588	0.9411249114560579	0.9997375691010791
4	APOE	29.086287		5.352346769499318e-186	1.0704693538998636e-182
4	MEG3	22.03579		1.3074781624915047e-107	1.3074781624915047e-104
4	SPARCL1	21.38487		1.847996788774954e-101	1.2319978591833026e-98
