cluster	flags	top_genes
4	stromal,endothelial	APOE,MEG3,SPARCL1,MMP3,AEBP1,POSTN,MT1A,WIF1,PLPP3,ETS1
7	immune,stromal	IGLC2,IGHA1,IGLC3,IGHM,CCL3L1,FTL,MNX1,TDO2,COL1A1,CCL4L2
8	endothelial	PLPP3,CCL22,CREM,MMP3,FAM237B,SERPING1,AKR1C1,PSG9,LMOD3,KLRC2
9	stromal	VCAN,FBLN1,APOE,FGFBP2,FTL,BCL11B,BIN2,LIMD2,CREM,OLFML2B
10	stromal	FN1,COL1A1,FTL,THBS2,COL5A2,TUBA3E,LINC01644,AEBP1,CXCL12,HTRA1
11	endothelial	RGCC,ETS1,CREM,PLPP3,KCTD12,SPARCL1,MT1A,MMP3,AKR1C1,PRDM1
12	immune	LIMD2,LTB,ACAP1,FYN,LCK,HCLS1,TNFRSF1B,SAMSN1,IGHM,RCSD1
15	immune	UGT2B11,TSPAN8,TCAP,UGT2B28,SPRY1,CST4,IGLC2,ZNF350-AS1,IGHM,DCD
16	stromal	SLC26A3,GLRA3,DIO1,LINC01970,FTL,EGR4,COL1A1,AL022322.2,FN1,TUBA3E
17	stromal,endothelial	C1R,C1S,APOE,SPARCL1,SERPING1,HLA-DQB1,AEBP1,MMP3,KCTD12,RGCC
19	immune	C5orf49,FAM183A,FTL,FOXJ1,C1orf194,C9orf24,BAALC,IGHA1,CFAP126,TMEM190
20	immune	HLA-DQB1,HLA-DRB5,HLA-DQA1,IGLC2,HLA-DQA2,IGHA1,IGLC3,IQGAP3,IGHM,CXCL11
21	immune	SYP,CYP2A7,CYP2A6,FTL,IGLC2,GRIA2,ASCL1,CCL3L1,CTSS,IGHA1
22	endothelial	GSTA1,ETS1,RGCC,ADAMTS9,IGFL1,C1R,TNFRSF1B,SPARCL1,APOE,C1S
24	immune,stromal	MUC5B,MUC16,MUC2,FBLN1,IGHE,IGLC2,FN1,IGLC3,CALY,SPRY1
25	endothelial	FGL1,ALB,PLPP3,CREM,SERPING1,MT1A,CCL22,TSPAN8,TAT-AS1,MMP1
28	stromal,endothelial	SPRY1,FTL,APOE,MEG3,SPARCL1,AEBP1,POSTN,MT1A,SERPING1,PLPP3
30	immune,endothelial	APOC1,APOE,FTL,RNASE1,LYZ,C1QC,SPARCL1,HLA-DQA1,MEF2C,KCTD12
31	endothelial	PSG4,ETS1,MEG3,MMP3,RGCC,ADAMTS9,MT1A,SPARCL1,APOE,PRDM1
35	immune,stromal	PYDC1,COL1A1,FN1,IGLC2,HLA-DRB5,HLA-DQB1,HLA-DQA1,FBLN1,DCD,IGHM
38	stromal	AC100801.1,SERPING1,FBLN1,RGS5,DIRAS3,SPRY1,TSPAN8,FN1,COL1A1,CAMP
42	immune,endothelial	ORM1,ORM2,FTL,CYSRT1,FN1,CASP14,HLA-DQB1,IGHM,TDO2,PLPP3
