sample	cell_type	cell_count	percent
GSM4909277_B1-KCF0894	Epithelial	3474	46.46869983948636
GSM4909277_B1-KCF0894	Fibroblast	1661	22.21776350989834
GSM4909277_B1-KCF0894	Endothelial	1392	18.619582664526483
GSM4909277_B1-KCF0894	Macrophage	781	10.446762974852865
GSM4909277_B1-KCF0894	T_cell	137	1.8325307651150349
GSM4909277_B1-KCF0894	Plasma_cell	31	0.4146602461209203
GSM4909284_TN-MH0114-T2	T_cell	838	49.67397747480735
GSM4909284_TN-MH0114-T2	Macrophage	212	12.566686425607587
GSM4909284_TN-MH0114-T2	Epithelial	186	11.025489033787789
GSM4909284_TN-MH0114-T2	Activated_Tcell	152	9.010077059869593
GSM4909284_TN-MH0114-T2	Fibroblast	139	8.239478363959691
GSM4909284_TN-MH0114-T2	NK_cell	69	4.090100770598696
GSM4909284_TN-MH0114-T2	Plasma_cell	47	2.786010669828097
GSM4909284_TN-MH0114-T2	Dendritic_APC	44	2.608180201541197
GSM4909263_N-MH0064-Total	Epithelial	803	50.03115264797508
GSM4909263_N-MH0064-Total	Endothelial	350	21.80685358255452
GSM4909263_N-MH0064-Total	Fibroblast	263	16.386292834890966
GSM4909263_N-MH0064-Total	Macrophage	160	9.96884735202492
GSM4909263_N-MH0064-Total	NK_cell	29	1.806853582554517
GSM4909297_ER-MH0125	Epithelial	5205	76.16330114135206
GSM4909297_ER-MH0125	Fibroblast	535	7.828504536142815
GSM4909297_ER-MH0125	T_cell	351	5.136084284460052
GSM4909297_ER-MH0125	Macrophage	292	4.272753877670471
GSM4909297_ER-MH0125	Activated_Tcell	282	4.1264266900790165
GSM4909297_ER-MH0125	Plasma_cell	119	1.7412935323383083
GSM4909297_ER-MH0125	Endothelial	50	0.7316359379572724
GSM4909291_HER2-MH0031	Epithelial	1572	35.36557930258718
GSM4909291_HER2-MH0031	Fibroblast	1190	26.771653543307085
GSM4909291_HER2-MH0031	Macrophage	874	19.66254218222722
GSM4909291_HER2-MH0031	Endothelial	425	9.561304836895388
GSM4909291_HER2-MH0031	T_cell	196	4.409448818897638
GSM4909291_HER2-MH0031	Plasma_cell	188	4.2294713160854895
GSM4909266_N-MH0169-Total	Fibroblast	1917	44.10952600092039
GSM4909266_N-MH0169-Total	Epithelial	778	17.901518637827888
GSM4909266_N-MH0169-Total	Plasma_cell	526	12.103083294983891
GSM4909266_N-MH0169-Total	Macrophage	443	10.1932811780948
GSM4909266_N-MH0169-Total	Endothelial	415	9.549010584445467
GSM4909266_N-MH0169-Total	T_cell	267	6.143580303727566
GSM4909279_B1-MH0023	Epithelial	2305	40.198814091384726
GSM4909279_B1-MH0023	Fibroblast	1857	32.38576909661667
GSM4909279_B1-MH0023	Endothelial	797	13.899546564352985
GSM4909279_B1-MH0023	Macrophage	549	9.574468085106384
GSM4909279_B1-MH0023	T_cell	226	3.94140216253924
GSM4909256_N-PM0095-Epi	Epithelial	1652	38.082065467957584
GSM4909256_N-PM0095-Epi	B_cell_APC	1147	26.4407561088059
GSM4909256_N-PM0095-Epi	Plasma_cell	851	19.61733517750116
GSM4909256_N-PM0095-Epi	T_cell	495	11.41078838174274
GSM4909256_N-PM0095-Epi	Dendritic_APC	71	1.636698939603504
GSM4909256_N-PM0095-Epi	Endothelial	70	1.6136468418626095
GSM4909256_N-PM0095-Epi	Fibroblast	52	1.19870908252651
GSM4909295_ER-AH0319	T_cell	1243	39.51048951048951
GSM4909295_ER-AH0319	Epithelial	672	21.360457724094086
GSM4909295_ER-AH0319	Macrophage	484	15.384615384615383
GSM4909295_ER-AH0319	Fibroblast	380	12.078830260648443
GSM4909295_ER-AH0319	B_cell_APC	164	5.212968849332485
GSM4909295_ER-AH0319	NK_cell	144	4.577240940877305
GSM4909295_ER-AH0319	Plasma_cell	30	0.9535918626827716
GSM4909295_ER-AH0319	Endothelial	29	0.9218054672600128
GSM4909272_N-MH0021-Total	Epithelial	1241	50.73589533932952
GSM4909272_N-MH0021-Total	Endothelial	950	38.83892068683565
GSM4909272_N-MH0021-Total	Fibroblast	176	7.195421095666394
GSM4909272_N-MH0021-Total	Activated_Tcell	79	3.2297628781684384
GSM4909280_B1-MH0090	Fibroblast	2852	54.41709597405075
GSM4909280_B1-MH0090	Endothelial	807	15.397824842587292
GSM4909280_B1-MH0090	Plasma_cell	696	13.279908414424728
GSM4909280_B1-MH0090	T_cell	518	9.883609998091968
GSM4909280_B1-MH0090	Epithelial	238	4.541118107231444
GSM4909280_B1-MH0090	Macrophage	130	2.480442663613814
GSM4909294_HER2-MH0176	Epithelial	4946	34.23785130832064
GSM4909294_HER2-MH0176	T_cell	3212	22.23452858922885
GSM4909294_HER2-MH0176	NK_cell	2379	16.468226498684757
GSM4909294_HER2-MH0176	B_cell_APC	1612	11.158798283261802
GSM4909294_HER2-MH0176	Macrophage	883	6.112418662605566
GSM4909294_HER2-MH0176	Fibroblast	746	5.164059255157137
GSM4909294_HER2-MH0176	Plasma_cell	475	3.288107434583968
GSM4909294_HER2-MH0176	Endothelial	193	1.3360099681572757
GSM4909265_N-PM0233-Total	Epithelial	2158	40.54866591506952
GSM4909265_N-PM0233-Total	Fibroblast	1604	30.13904547162721
GSM4909265_N-PM0233-Total	Endothelial	731	13.73543780533634
GSM4909265_N-PM0233-Total	T_cell	314	5.900037579857196
GSM4909265_N-PM0233-Total	Dendritic_APC	227	4.265313791807591
GSM4909265_N-PM0233-Total	Macrophage	227	4.265313791807591
GSM4909265_N-PM0233-Total	B_cell_APC	61	1.1461856444945508
