Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Transcription By RNA Polymerase II (GO:0006366)	48/192	4.934022e-05	1.400055e-01	0	0	2.029826e+00	2.012932e+01	NFAT5;CCNK;CCNT2;GMEB2;CCNH;ICE2;DDX21;RTF1;MED16;GTF2E1;PMF1;SUPT6H;TAF5L;SNAPC5;RXRA;PCF11;SNAPC2;NOCT;SNAPC4;TRIM24;LEO1;RPRD1B;POLR2G;PKNOX1;ZBTB7B;PAAF1;POLR2L;NCOA2;XBP1;PARP1;TAF12;TAF10;ADRM1;GTF2F1;MED4;GTF2H3;MED26;MED7;CDK9;DRAP1;TFCP2;CREB1;COPS2;XRN2;TAF7;TRIP11;TAF4;RBMX
GO_Biological_Process_2023	DNA-templated Transcription (GO:0006351)	49/199	6.271242e-05	1.400055e-01	0	0	1.989240e+00	1.924978e+01	DIDO1;CCNK;GMEB2;CCNT2;CRCP;CCNH;MED16;SNAPC2;TRIM24;UBTF;EPC1;PKNOX1;PARP1;NCOA6;MED4;GTF2F1;GTF3C1;NFAT5;GTF3C5;DDX21;BAZ2A;SPTY2D1;GTF2E1;PMF1;TAF5L;ZFP36L2;NOCT;POLR2G;ZBTB7B;POLR2L;XBP1;TAF12;POLR3GL;TAF10;MTERF4;SMARCA5;GTF2H3;CDK9;DRAP1;NR4A2;XAB2;COPS2;TRIP11;TAF7;MMS19;RNPS1;TAF4;POLR3K;RBMX
GO_Biological_Process_2023	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	44/180	1.724075e-04	2.205503e-01	0	0	1.968234e+00	1.705602e+01	ZCCHC8;DHX8;DDX46;DDX23;HNRNPU;CWC25;WDR83;CASC3;RBM4;ZMAT2;U2AF2;DHX35;SNIP1;MTREX;RALY;HNRNPA1;SRRM2;RBM14;GPKOW;BUD31;PRPF4B;PRPF40A;LSM5;CRNKL1;XAB2;RBMXL2;PRPF6;MFAP1;NOVA1;NOVA2;FRG1;SRSF2;RBM41;GEMIN5;PIN1;GEMIN6;SRSF4;RNPS1;GEMIN7;SNRPF;SRSF6;SLU7;RBMX;RBM22
GO_Biological_Process_2023	mRNA Splicing, Via Spliceosome (GO:0000398)	49/211	2.865891e-04	2.205503e-01	0	0	1.840589e+00	1.501453e+01	DDX46;HNRNPU;WDR83;CWC25;CASC3;RBM4;SNIP1;MTREX;SRRM2;RBM14;PRMT7;BUD31;PRPF40A;PRPF4B;CRNKL1;RBMXL2;PRPF6;FRG1;GEMIN4;SRSF2;GEMIN5;GEMIN6;SRSF4;GEMIN7;SNRPF;SRSF6;SLU7;RBM22;ZCCHC8;DHX8;DDX23;DDX20;ZMAT2;U2AF2;DHX35;RALY;HNRNPA1;GPKOW;LSM5;DNAJC17;XAB2;MFAP1;NOVA1;NOVA2;RBM41;PIN1;RNPS1;CDK13;RBMX
GO_Biological_Process_2023	Chromatin Remodeling (GO:0006338)	52/228	3.043030e-04	2.205503e-01	0	0	1.798355e+00	1.456215e+01	FOXA1;CHD8;CHD4;CHD3;BMI1;CHD2;YY1;MECOM;PWWP2A;SMARCAD1;KDM6A;SMARCC2;KDM2B;USP3;ATRX;HCFC1;TTI1;WAC;TOP1;CGGBP1;HDGFL3;HDAC4;INO80B;NFAT5;SMARCD1;INO80E;DDX23;DDX21;BAZ2A;SUPT6H;PRIMPOL;PAK1;MTA1;BRD9;SMARCE1;KDM4B;KDM4C;KDM4D;BICRAL;CBX3;MCRS1;SMARCA5;MTHFR;INO80;ESR1;TADA2B;CDK9;REST;RYBP;TRIP12;BCOR;ZNF335
GO_Biological_Process_2023	Monoubiquitinated Protein Deubiquitination (GO:0035520)	13/33	3.296447e-04	2.205503e-01	0	0	3.937681e+00	3.157034e+01	USP7;USP16;TAF12;TRRAP;TAF10;SGF29;TAF5L;SUPT3H;TADA2B;TAF7;SUPT20H;TAF4;ATXN7L3
GO_Biological_Process_2023	DNA-templated Transcription Initiation (GO:0006352)	19/59	3.470960e-04	2.205503e-01	0	0	2.880287e+00	2.294410e+01	GTF3C1;CRCP;RRN3;TAF12;CCNH;NCOA6;TAF10;SMARCA5;GTF2F1;MED26;GTF2E1;ZFP36L2;MED7;CDK9;UBTF;TAF7;POLR2G;TAF4;PAAF1
GO_Biological_Process_2023	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	108/557	3.951629e-04	2.205503e-01	0	0	1.470041e+00	1.151955e+01	TRRAP;YY1;PSMD9;FGF7;TRIM28;MYB;AKT1;EPC1;SUPT20H;ATXN7L3;TP63;ANKRD49;SMARCC2;FBXW11;MITF;HNF1B;MED4;HCFC1;ILF3;KAT6B;CLOCK;INO80B;INO80E;NOTCH1;MEAF6;AIRE;MAX;KMT2B;GATA3;PSEN1;GATA1;TAF5L;GLIS2;NEUROD1;NPAT;NUP85;MAP2K7;ZNF423;CREBBP;JUN;BICRAL;INO80;INHBA;GDF6;NR0B2;ESR1;TADA2B;MLXIPL;MRGBP;BCL3;MMS19;FANK1;RET;SETD3;CHD8;SIX1;CHD4;SGF29;CHD3;GLI1;MED16;GLI3;GLI2;PHF8;ING2;MED13;MECOM;NCOA6;MSL2;TFEB;AXIN1;EDF1;FOXL2;FOS;ZFP90;SUPT3H;TGFBR1;CREB1;ELF2;THRAP3;WAC;HDAC4;PRKAA1;USP16;MYRF;RNF6;CAMKK2;NSD3;RXRA;MTA1;ERBB4;BRD8;PCBD2;BRD4;TAF15;TAF12;MCRS1;TAF10;ATAD2;TBX5;HNRNPAB;HIPK2;REST;RYBP;KANSL1;TAF7;NAA15;TAF4
GO_Biological_Process_2023	Histone Deubiquitination (GO:0016578)	13/34	4.647960e-04	2.305905e-01	0	0	3.749954e+00	2.877681e+01	TAF12;TRRAP;TAF10;USP3;SGF29;TAF5L;SUPT3H;TADA2B;TAF7;SUPT20H;TAF4;ATXN7L3;MPND
GO_Biological_Process_2023	Negative Regulation Of RNA Splicing (GO:0033119)	9/19	5.571348e-04	2.487607e-01	0	0	5.447653e+00	4.081765e+01	RPS26;PTBP1;U2AF2;RNPS1;SRSF4;TMBIM6;SRSF6;RBMX;PTBP3
GO_Biological_Process_2023	Monoubiquitinated Histone H2A Deubiquitination (GO:0035522)	11/27	6.741399e-04	2.508362e-01	0	0	4.162884e+00	3.039768e+01	TADA2B;TAF12;TRRAP;TAF10;TAF7;SGF29;SUPT20H;TAF4;ATXN7L3;TAF5L;SUPT3H
GO_Biological_Process_2023	Monoubiquitinated Histone Deubiquitination (GO:0035521)	11/27	6.741399e-04	2.508362e-01	0	0	4.162884e+00	3.039768e+01	TADA2B;TAF12;TRRAP;TAF10;TAF7;SGF29;SUPT20H;TAF4;ATXN7L3;TAF5L;SUPT3H
