Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Intermediate Filament Organization (GO:0045109)	27/68	6.620035e-06	3.000200e-02	0	0	3.256152e+00	3.883095e+01	KRT81;KRT24;KRT23;KRT85;KRT84;KRT33B;KRT25;KRT6B;KRT4;KRT3;KRT2;KRT79;KRT78;KRT12;KRT32;KRT5;KLHL24;KRT75;KRT74;KRT73;BFSP1;KRT17;KRT16;KRT15;KRT14;PKP1;INA
GO_Biological_Process_2023	Epidermis Development (GO:0008544)	30/85	3.212317e-05	7.279111e-02	0	0	2.697151e+00	2.790454e+01	KDM5A;SPRR2F;SPRR3;CALML5;GATA6;KLK5;LAMC2;HOXB13;KRT85;KLK7;PPP3CA;SCEL;SPRR2B;SPRR2D;LAMB3;KRT2;SPINK5;C1ORF68;KLK14;GRHL3;KRT32;KRT5;FOXN1;POU2F3;OVOL3;KRT15;GJB5;KRT14;SPRR1A;FGFR2
GO_Biological_Process_2023	Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	13/28	2.678078e-04	3.103528e-01	0	0	4.274131e+00	3.515576e+01	PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;CDC20;ZW10;NUF2;FBXO5;BUB1;SPC24;SPC25
GO_Biological_Process_2023	Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)	21/59	4.138341e-04	3.103528e-01	0	0	2.728115e+00	2.125214e+01	INTS13;STIL;TNKS;NEK6;PLK1;CDCA8;TTK;KIF11;AURKB;NDC80;CENPE;ESPL1;KIF2A;KIF4A;NUF2;NUSAP1;CDK1;TACC3;MAP4;DLGAP5;SPC25
GO_Biological_Process_2023	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	12/26	4.931337e-04	3.103528e-01	0	0	4.226162e+00	3.218108e+01	CDC20;ZW10;NUF2;PLK1;BUB1B;KLHL22;TTK;HASPIN;BUB1;NDC80;SPC24;SPC25
GO_Biological_Process_2023	Mitotic Spindle Checkpoint Signaling (GO:0071174)	12/26	4.931337e-04	3.103528e-01	0	0	4.226162e+00	3.218108e+01	CDC20;ZW10;NUF2;PLK1;BUB1B;KLHL22;TTK;HASPIN;BUB1;NDC80;SPC24;SPC25
GO_Biological_Process_2023	Spindle Assembly Checkpoint Signaling (GO:0071173)	12/26	4.931337e-04	3.103528e-01	0	0	4.226162e+00	3.218108e+01	CDC20;ZW10;NUF2;PLK1;BUB1B;KLHL22;TTK;HASPIN;BUB1;NDC80;SPC24;SPC25
GO_Biological_Process_2023	Mitotic Sister Chromatid Segregation (GO:0000070)	33/111	5.601408e-04	3.103528e-01	0	0	2.090988e+00	1.565590e+01	ABRAXAS1;CDCA5;KIF14;CDCA8;NCAPG;KIF11;NCAPH;CHMP1B;CHMP1A;NUSAP1;CEP55;DLGAP5;OFD1;ARHGEF10;SPAG5;PLK1;KLHL22;NDC80;EML3;SGO1;WRAP73;CENPE;KIF18B;ESPL1;KIF2A;KIFC1;CENPI;PRC1;ZW10;CENPK;CHMP4C;KIF2C;NCAPD2
GO_Biological_Process_2023	Sister Chromatid Segregation (GO:0000819)	14/34	7.124086e-04	3.103528e-01	0	0	3.452169e+00	2.501738e+01	RB1;TOP2A;SPAG5;PLK1;KLHL22;NDC80;SGO1;KIF18B;ESPL1;CENPI;KIFC1;ZW10;CENPK;NUSAP1
GO_Biological_Process_2023	Centromere Complex Assembly (GO:0034508)	8/14	7.532836e-04	3.103528e-01	0	0	6.569395e+00	4.724097e+01	CENPT;CENPE;CENPV;NASP;CENPI;HJURP;OIP5;DLGAP5
GO_Biological_Process_2023	Negative Regulation Of Cilium Assembly (GO:1902018)	8/14	7.532836e-04	3.103528e-01	0	0	6.569395e+00	4.724097e+01	YAP1;MPHOSPH9;LIMK2;GDI2;TBC1D7;TESK1;KIF24;MAP4
GO_Biological_Process_2023	I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	16/45	1.976827e-03	7.465817e-01	0	0	2.721063e+00	1.694205e+01	ROCK1;ROCK2;RIPK2;NFKB1;RELB;NFKB2;IRAK1BP1;PRDX4;TIFA;REL;TLR9;ERC1;IKBKG;AZI2;MAP3K7;BIRC2
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle Process (GO:0090068)	32/118	3.488612e-03	9.999950e-01	0	0	1.837571e+00	1.039744e+01	CEP120;PDGFB;KIF14;CDCA8;NCAPG;SMC5;NCAPH;AURKB;SOX15;NUSAP1;MAP3K20;DRD2;E2F7;E2F8;GEN1;PLK4;STIL;EDN1;CENPV;EDN3;SPAG5;EGF;PRKCE;NDC80;CDC25B;EREG;CIT;BTC;DBF4;CENPJ;NCAPD2;KIF20B
GO_Biological_Process_2023	Nucleoside Transport (GO:0015858)	4/5	3.522502e-03	9.999950e-01	0	0	1.969076e+01	1.112249e+02	SLC29A4;SLC29A1;SLC29A3;SLC28A3
GO_Biological_Process_2023	Regulation Of mRNA Binding (GO:1902415)	4/5	3.522502e-03	9.999950e-01	0	0	1.969076e+01	1.112249e+02	FMR1;EIF3E;EIF3D;LARP6
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010800)	10/24	3.687264e-03	9.999950e-01	0	0	3.519712e+00	1.972049e+01	CAB39;EGF;RIPK2;PLK1;WNK3;CHI3L1;MAPK1;S1PR2;CALM1;IRGM
GO_Biological_Process_2023	Protein Polyglutamylation (GO:0018095)	6/11	4.939942e-03	9.999950e-01	0	0	5.909306e+00	3.138079e+01	TTLL7;TTLL4;TTLL2;TTLL1;CFAP20;TTLL9
GO_Biological_Process_2023	Epithelium Development (GO:0060429)	39/154	5.032708e-03	9.999950e-01	0	0	1.675351e+00	8.865618e+00	GATA6;KRT24;KRT23;CNN3;KRT33B;LGALS3;FGF8;UPK1A;DMBT1;KRT25;PGK1;SOX8;NKX2-5;JAK2;HES5;MFSD2A;CBR1;STIL;KRT4;KRT3;ANXA4;SPINK5;RIPK4;KRT12;KRT32;OXSR1;PPP2R3A;SOX10;BDH2;KRT17;KRT16;WT1;KRT15;KRT14;CDK1;WDPCP;CCM2;VCL;FGFR2
GO_Biological_Process_2023	Mitotic Nuclear Division (GO:0140014)	15/45	5.449037e-03	9.999950e-01	0	0	2.465082e+00	1.284879e+01	CTDP1;SPAG5;PLK1;KLHL22;KLHDC8B;NDC80;EPS8;SGO1;KIF18B;ESPL1;CENPI;KIFC1;ZW10;CENPK;NUSAP1
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	19/63	6.552077e-03	9.999950e-01	0	0	2.129669e+00	1.070792e+01	RB1;KLHL18;STIL;RRM2;CDCA5;CDC25C;EGFR;CDC25B;CDC20;LSM10;RAD51B;MBLAC1;LSM11;ESPL1;CENPJ;CDK1;FBXO5;PLCB1;DLGAP5
GO_Biological_Process_2023	Mitotic Chromosome Condensation (GO:0007076)	7/15	7.122089e-03	9.999950e-01	0	0	4.309369e+00	2.130791e+01	CDCA5;PLK1;CHMP1A;NUSAP1;NCAPG;NCAPD2;NCAPH
GO_Biological_Process_2023	Potassium Ion Import Across Plasma Membrane (GO:1990573)	14/42	7.137912e-03	9.999950e-01	0	0	2.464646e+00	1.218111e+01	KCNH2;KCNJ4;SLC12A3;KCNE2;KCNK9;KCNJ9;SLC12A1;KCNJ15;KCNJ16;KCNJ18;ATP12A;ATP4B;ATP4A;SLC12A8
GO_Biological_Process_2023	Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	11/30	7.460082e-03	9.999950e-01	0	0	2.852807e+00	1.397359e+01	BLM;CDKN1A;DEPDC1B;TRIM39;CHEK1;UIMC1;PLK1;DONSON;CDK1;CLSPN;TICRR
GO_Biological_Process_2023	Regulation Of Retrograde Protein Transport, ER To Cytosol (GO:1904152)	6/12	8.477284e-03	9.999950e-01	0	0	4.924126e+00	2.348988e+01	OS9;EDEM1;EDEM2;YOD1;UBAC2;UBE2J1
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	17/56	9.148985e-03	9.999950e-01	0	0	2.149157e+00	1.008839e+01	CUL9;EDN1;BORA;CDCA2;EDN3;DUSP1;EGF;PDGFB;PDXP;MKI67;CDC25C;EREG;BTC;CHEK1;NUSAP1;FBXO5;KIF20B
GO_Biological_Process_2023	CENP-A Containing Chromatin Assembly (GO:0034080)	4/6	9.149454e-03	9.999950e-01	0	0	9.844787e+00	4.621203e+01	NASP;CENPI;HJURP;OIP5
GO_Biological_Process_2023	Chromatin Remodeling At Centromere (GO:0031055)	4/6	9.149454e-03	9.999950e-01	0	0	9.844787e+00	4.621203e+01	NASP;CENPI;HJURP;OIP5
GO_Biological_Process_2023	Positive Regulation Of RNA Binding (GO:1905216)	4/6	9.149454e-03	9.999950e-01	0	0	9.844787e+00	4.621203e+01	FMR1;EIF3E;EIF3D;LARP6
GO_Biological_Process_2023	Positive Regulation Of mRNA Binding (GO:1902416)	4/6	9.149454e-03	9.999950e-01	0	0	9.844787e+00	4.621203e+01	FMR1;EIF3E;EIF3D;LARP6
GO_Biological_Process_2023	Cell Cycle G2/M Phase Transition (GO:0044839)	13/40	1.177684e-02	9.999950e-01	0	0	2.372801e+00	1.053908e+01	PLK1;FOXM1;CDC25C;MASTL;AURKB;CDC25B;DNM2;CCNA2;MELK;CCNY;CDK1;PLCB1;CDK14
GO_Biological_Process_2023	Peripheral Nervous System Development (GO:0007422)	8/20	1.218525e-02	9.999950e-01	0	0	3.283511e+00	1.447217e+01	EGR2;GPC1;SCN8A;ADGRG6;PMP22;SOX8;SERPINI1;SOX10
GO_Biological_Process_2023	Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799)	12/36	1.232309e-02	9.999950e-01	0	0	2.463777e+00	1.083145e+01	CADM4;CAB39;EGF;RIPK2;PLK1;WNK3;MAPK1;CHI3L1;S1PR2;CALM1;IRGM;SMAD7
GO_Biological_Process_2023	Mitotic Spindle Organization (GO:0007052)	23/85	1.234094e-02	9.999950e-01	0	0	1.829754e+00	8.041463e+00	OFD1;ARHGEF10;INTS13;STIL;ABRAXAS1;TNKS;NEK6;PLK1;CDCA8;TTK;KIF11;AURKB;NDC80;WRAP73;CENPE;KIF2A;KIFC1;PRC1;KIF4A;NUF2;MAP4;DLGAP5;SPC25
GO_Biological_Process_2023	Regulation Of Chromosome Segregation (GO:0051983)	10/28	1.293711e-02	9.999950e-01	0	0	2.736894e+00	1.189907e+01	CDCA2;CSNK2A2;NCAPG;SMC5;KIF2C;NCAPD2;HORMAD1;MKI67;BUB1;NCAPH
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	21/77	1.491883e-02	9.999950e-01	0	0	1.849211e+00	7.776176e+00	CCL13;CCL24;EDN1;CXADR;EDN2;CCL22;EDN3;CCL20;CXCL1;IRAK4;PPBP;CXCL13;CXCL2;CX3CL1;LGALS3;KLF5;SAA1;S100A12;PRTN3;PF4V1;PF4
GO_Biological_Process_2023	Mitotic Metaphase Plate Congression (GO:0007080)	15/50	1.551130e-02	9.999950e-01	0	0	2.112290e+00	8.800196e+00	CDT1;CDCA5;KIF14;CDCA8;NDC80;EML3;CENPE;KIFC1;CHMP1B;ZW10;CHMP1A;NUF2;CHMP4C;KIF2C;CEP55
