cluster	flags	top_genes
0	clean	FTL,AC060814.3,AC083967.1,GNAT3,MAGEA1,AL512791.2,AC110609.1,LINC02024,LINC02384,CD19
1	stromal	ETS1,ADAMTS9,PRDM1,CSF3,MMP3,ADAMTS4,MT1A,ANGPT2,GNG11,FYN
2	endothelial	CD83,HRCT1,FTL,APOE,COL2A1,RNASE1,PCP4,FGFBP2,LIMD2,RGCC
3	stromal	CREM,MMP3,ETS1,FAM237B,EPGN,MMP1,MEG3,PSG9,CSF3,MT1A
4	clean	FGB,ZBTB20-AS2,FGG,AC008703.1,CNTN2,AC060814.3,IL24,AC083967.1,GNAT3,AC023055.1
5	immune,stromal	CCDC78,VSTM2A,CST9,DIO1,HLA-DRB5,CYP4F8,HLA-DQB1,FN1,FTL,CYSRT1
6	endothelial	TCN1,OPRPN,RGCC,ETS1,APOE,CSN3,LALBA,SPARCL1,CSN1S1,APOC1
7	immune,endothelial	CTSS,ETS1,C1R,RGCC,PLPP3,APOE,TNFRSF1B,C1S,LTB,PRDM1
8	immune	TAT-AS1,DCD,TRIM55,CAMP,CCL3L1,CARTPT,TRGC1,SLC16A10,HLA-DQB1,APOC1
9	stromal	MT1A,AKR1C1,CRISPLD2,C11orf96,MMP3,MEG3,FAM237B,RGS5,IL24,ETS1
10	clean	AC008663.1,TRH,GAGE2A,GAGE12E,FTL,GAGE12H,LINC02043,GAGE12D,EIF1AY,GAGE13
11	stromal	BPIFB1,LINC00052,TRH,CADM2,TPH1,FGF4,CORO6,MUC5B,CAMP,COL1A1
12	immune,stromal	HOXB-AS3,CASP14,FTL,ZNF350-AS1,ADAMTS4,FN1,HOXD1,JAKMIP1,SPRY1,IGLC2
13	immune,stromal	CNTD1,FTL,AC005920.1,COL1A1,FN1,CST9,ASCL1,IGLC2,BPIFB1,SERPINA6
14	clean	LINC00052,CADM2,CORO6,TPH1,SYCE1,TRH,GAGE2A,GAGE12E,CAMP,IQGAP3
15	stromal	GRIA2,ASCL1,FTL,HAMP,CST9,APOC1,SERPINA6,COL1A1,ART4,CADM2
16	immune,stromal	SERPING1,DIRAS3,FN1,ARHGAP36,C4A,IGLC2,CCL4L2,C1R,VSIR,IGHA1
17	clean	NPPC,SERPINA6,FTL,TRH,LINC01644,GAGE2A,LINC00052,MEG3,TPH1,LAG3
18	immune	FTL,DCD,TSPAN8,HLA-DQA2,TRGC1,TRGC2,CARTPT,CST4,TCAP,LINC01727
19	clean	FTL,AC004540.1,HAMP,FAM183A,KLHL10,BAALC,AC084018.2,ABI3,AC016745.1,TRPV2
20	clean	FTL,TRIM55,GLRA3,TSPAN8,UGT2B28,JAKMIP2,KRT24,TBX10,AL138760.1,PLXDC1
21	clean	IGLV7-43,C22orf15,IGLV3-19,IGLV2-18,AC233755.1,AC020912.1,AC233755.2,HRNR,AC087318.1,AC012150.2
22	stromal	CX3CR1,FOLR2,AL121845.1,AC009275.1,SPNS3,AC117503.1,BHLHE40-AS1,COL5A2,TRBV14,TRAV12-2
23	clean	AC004801.6,IGLV8-61,IGLV7-43,C22orf15,CRP,AL109910.2,OR3A1,LINC02132,IGLV9-49,TRAV6
24	clean	LILRB5,MFAP4,LUZP2,AL359834.1,AC120498.8,IL31,FAM216B,AC034114.2,AC069360.1,OR3A1
