names	scores	logfoldchanges	pvals	pvals_adj
DCD	3.119618		0.0018108573288457665	1.0
TRIM55	1.8135729		0.0697435098471067	1.0
CREM	1.4416786	-0.15797125	0.14939303809247345	1.0
FTL	1.3536414	-4.5671043	0.17585081477817543	1.0
HLA-DRB5	1.2306201	-2.81876	0.21846497063283188	1.0
CCL3L1	1.1868279		0.23529550349844186	1.0
LINC00052	1.04893	1.1791848	0.29421034086239084	1.0
IGLC2	0.9673461	-0.9701243	0.33337107303867786	1.0
HLA-DQB1	0.8008269	-0.35488454	0.4232318426441797	1.0
NPPC	0.7879882	1.5912892	0.43070362926159744	1.0
TCAP	0.77641743		0.43750256351593075	1.0
TAT-AS1	0.6723939	-5.580672	0.5013329504401061	1.0
APOE	0.6073623	-0.026319461	0.5436105309323563	1.0
TBX10	0.6019052		0.5472372348384287	1.0
SLC16A10	0.5936857		0.5527223625563826	1.0
KLRG1	0.5772013		0.5638034587247627	1.0
IGHM	0.5446855	-0.93928957	0.5859698415179295	1.0
UGT2B28	0.514751		0.6067270275060206	1.0
CCDC78	0.50684845	-0.9598475	0.6122611380801595	1.0
PECAM1	0.4901377		0.6240364655775513	1.0
MT1A	0.46058813	-0.06008176	0.6450941228161431	1.0
RAB37	0.45725957		0.647484486973388	1.0
FAM19A2	0.44088843		0.6592937665627663	1.0
AC005899.8	0.43577105		0.6630028570283307	1.0
SEMA3G	0.43226132		0.6655514940833643	1.0
TSPAN8	0.4275515		0.6689776763989206	1.0
FAM13C	0.42752886		0.6689941651603593	1.0
HLA-DQA2	0.41919613	-1.5339833	0.6750728095862621	1.0
IGF1	0.4112483		0.6808904709511915	1.0
CARTPT	0.4109766		0.6810897038040599	1.0
AC243829.1	0.40280235		0.6870936392894287	1.0
ZBTB20-AS2	0.3998134		0.6892939457562666	1.0
AL603756.1	0.39489982		0.6929168262155119	1.0
IGLC3	0.3915486	-0.31741983	0.6953917715035178	1.0
CCDC152	0.37855133		0.705021073248157	1.0
PLPP3	0.37848338	-0.08616282	0.7050715265868177	1.0
AL022322.2	0.3780758	-2.4829783	0.7053742738528166	1.0
LIMD2	0.35402858	-0.18234406	0.7233174570954806	1.0
HCLS1	0.35396066		0.7233683656269008	1.0
LINC00545	0.34861684		0.7273769891492374	1.0
AMELX	0.34861684		0.7273769891492374	1.0
ODAM	0.34861684	-1.8981589	0.7273769891492374	1.0
AL137003.1	0.3404426		0.7335232517812236	1.0
FBLN1	0.33401188	-0.18679997	0.7383705944833419	1.0
PLXDC1	0.33229098		0.7396695459083575	1.0
PTGS1	0.33217776		0.739755029325105	1.0
C5orf49	0.3320872	-0.39091912	0.7398234183732969	1.0
CPLANE2	0.32950586		0.7417733690559347	1.0
LINC00243	0.3288945		0.742235442942482	1.0
AGAP2	0.32382238		0.746072513623804	1.0
SPRY1	0.31236485	-0.09332911	0.7547632617886693	1.0
TPH1	0.30860606	1.5181087	0.7576212149749741	1.0
CXCL12	0.3041227	-0.9809432	0.7610344337244465	1.0
AC104532.2	0.28326815		0.7769712836044895	1.0
PLAC1	0.26687437		0.7895658815862105	1.0
PCK1	0.2665121		0.7898448505140895	1.0
CBY3	0.26146263		0.793735768717144	1.0
TNP1	0.26146263		0.793735768717144	1.0
KRT24	0.26146263		0.793735768717144	1.0
ADAMTS14	0.2532884		0.8000453753540457	1.0
COL5A2	0.24198936	-2.018001	0.8087884126777196	1.0
MNX1	0.23705311	-1.6375817	0.812615591557189	1.0
TTR	0.23693989		0.8127034237919488	1.0
FCGBP	0.23691724		0.8127209905216763	1.0
AC246785.3	0.22876565		0.8190510706487235	1.0
LINC00939	0.22876565		0.8190510706487235	1.0
HIST3H2BB	0.22235759		0.8240355318029083	1.0
APELA	0.2205914		0.8254105985580736	1.0
