names	scores	logfoldchanges	pvals	pvals_adj
FTL	15.183713		4.533769110094567e-52	9.067538220189134e-49
APOE	7.8582296		3.89599994662835e-15	3.89599994662835e-12
HRCT1	3.4798229		0.0005017454264345301	0.3344969509563534
FN1	2.5110054		0.012038782321841331	1.0
PCP4	2.4820204		0.013063981497411377	1.0
VCAN	2.4546852		0.014100803886710154	1.0
FBLN1	2.0956707		0.03611141732267315	1.0
C1R	2.0603533		0.039364771926449695	1.0
COL2A1	2.021424		0.04323588386098192	1.0
NPPC	1.9442344	6.658665	0.051867190208188786	1.0
RGCC	1.8507239		0.06420928845146989	1.0
LIMD2	1.7616726		0.0781246329745503	1.0
SERPING1	1.6919298		0.09065934768045489	1.0
IGLC2	1.644751		0.10002117868163676	1.0
IGLC3	1.5409396		0.12333149983947782	1.0
CREM	1.4215207	-0.4699168	0.1551654270766812	1.0
LCK	1.4173291		0.15638674651840173	1.0
BCL11B	1.3538293		0.17579084965445635	1.0
C1S	1.2880553		0.1977267153743516	1.0
FGFBP2	1.1281911		0.25923923554640593	1.0
RNASE1	1.1186929		0.26327119310900493	1.0
BIN2	1.0153719		0.3099285536891575	1.0
HLA-DQB1	0.9172684	-0.96349657	0.35900201737563187	1.0
VSIR	0.8736123		0.38232942524540836	1.0
CADM2	0.8329439		0.40487636310947517	1.0
HTN1	0.78036934		0.4351735237163503	1.0
TMEM100	0.7799234		0.4354359698823903	1.0
THBS2	0.733012		0.46355108233106	1.0
COL1A1	0.6828008	-0.65489554	0.49473268952160687	1.0
AC103702.2	0.67691463		0.4984601145117826	1.0
CDH19	0.67691463		0.4984601145117826	1.0
KRTDAP	0.66741645		0.5045061733476761	1.0
IQGAP3	0.66723806		0.5046200831114488	1.0
IGHA1	0.6547967	-1.425897	0.5125986269901606	1.0
LAG3	0.6180525		0.5365407334899874	1.0
SH2D2A	0.60935694		0.5422878636390525	1.0
LINC01118	0.554419		0.5792921572575449	1.0
INPP5D	0.544787		0.5859000432220185	1.0
TGFB2-AS1	0.53506577		0.5926043612522334	1.0
MEF2C	0.5347536		0.5928202192980901	1.0
IGHM	0.51602477	-1.6208179	0.605837099505141	1.0
AP000787.1	0.5157572		0.6060239787683805	1.0
AC104532.2	0.48588023		0.6270520847780996	1.0
MUC5B	0.47758603	-0.7094097	0.6329448823005266	1.0
ACAP1	0.4579653	-1.4252692	0.646977366429721	1.0
EGR4	0.45127642		0.651790332425614	1.0
ADCYAP1	0.45127642		0.651790332425614	1.0
TNFRSF4	0.45127642		0.651790332425614	1.0
PXDNL	0.45127642		0.651790332425614	1.0
TOX	0.45127642		0.651790332425614	1.0
COL7A1	0.4479766		0.6541700992533999	1.0
ZBTB20-AS2	0.4478874		0.6542344662291799	1.0
ITGB7	0.44151065		0.6588433441877648	1.0
GABRD	0.43210164		0.6656675441904542	1.0
KCNAB2	0.43205705		0.6656999529510974	1.0
FYN	0.42657217	-0.5018311	0.6696909759722944	1.0
AL512791.2	0.4222467		0.6728449663419869	1.0
CES1	0.4126593		0.6798562523815208	1.0
AKR1B15	0.4030719		0.6868953320955762	1.0
BGLAP	0.40267056		0.6871905893460424	1.0
CD83	0.39268184	-0.26200238	0.6945544853948498	1.0
CTSS	0.38893607	-0.28977546	0.6973234411376165	1.0
LINC02043	0.37457728		0.7079748791330897	1.0
ADCY7	0.34077615		0.733272120086618	1.0
SPRR2A	0.33845732		0.7350185847224064	1.0
LST1	0.33845732		0.7350185847224064	1.0
LINC02397	0.33845732		0.7350185847224064	1.0
PDE3B	0.33845732		0.7350185847224064	1.0
LZTS1	0.33845732		0.7350185847224064	1.0
GNG2	0.33845732		0.7350185847224064	1.0
NLRP7	0.33845732		0.7350185847224064	1.0
AC090152.1	0.33845732		0.7350185847224064	1.0
AC009093.1	0.33845732		0.7350185847224064	1.0
AL603756.1	0.32891452		0.7422203003060714	1.0
TNFRSF13C	0.32882532		0.7422877137539592	1.0
AC006213.3	0.32878074		0.7423214212193142	1.0
AL121672.2	0.32878074		0.7423214212193142	1.0
ITGA2B	0.32878074		0.7423214212193142	1.0
DPF3	0.32878074		0.7423214212193142	1.0
HLA-DQA1	0.31928253	-0.61079663	0.7495122779981158	1.0
CDKN2B-AS1	0.31923795		0.7495460898539877	1.0
