names	scores	logfoldchanges	pvals	pvals_adj
DCD	24.000292		2.76131359320077e-127	5.52262718640154e-124
FTL	22.073877		5.634671807259192e-108	5.6346718072591914e-105
IGLC2	19.551252		4.02517652914697e-85	2.012588264573485e-82
HLA-DRB5	15.90402		5.942542709579863e-57	2.3770170838319453e-54
HLA-DQB1	14.324398		1.540562386052279e-46	5.135207953507596e-44
IGHA1	13.5323515		1.0074832245098098e-41	2.8785234985994567e-39
CCL3L1	11.671311		1.7864887896553194e-31	3.9699750881229325e-29
IGLC3	11.318555		1.0620782518384406e-29	1.931051366978983e-27
IGHM	10.575972		3.851645984177789e-26	5.50235140596827e-24
SPRY1	10.380697		3.035511004110142e-25	4.04734800548019e-23
UGT2B11	9.836666		7.826150410999568e-23	9.78268801374946e-21
HLA-DQA1	9.410959		4.916300430302339e-21	5.783882859179223e-19
TRIM55	9.374432		6.954932972966952e-21	7.727703303296614e-19
COL1A1	7.753934		8.908872362938366e-15	8.484640345655586e-13
TAT-AS1	7.3779345		1.6076411149695224e-13	1.4614919226995658e-11
CCDC78	7.0017395		2.5280420341339902e-12	2.1067016951116585e-10
CARTPT	6.805257		1.0086926452104621e-11	8.069541161683697e-10
TCAP	6.149244		7.785319529545357e-10	5.766903355218783e-08
TSPAN8	5.9449778		2.7649444978185146e-09	1.9749603555846532e-07
TRGC1	5.7792425		7.503768814901332e-09	5.002512543267556e-07
FN1	5.7381854	-1.9165053	9.569624476238714e-09	6.173951274992719e-07
FBLN1	5.7188487		1.0724810607415842e-08	6.703006629634902e-07
TDO2	5.214345		1.844678707152239e-07	1.054102118372708e-05
CST4	5.1734867		2.2976521488736498e-07	1.2419741345262972e-05
PECAM1	4.7818737		1.7366889536012328e-06	8.90609719795504e-05
PYDC1	4.7274084		2.2740344658876403e-06	0.00010828735551845905
LIMD2	4.683845		2.8154307181720896e-06	0.00013095026596149256
SLC16A10	4.4197254		9.88264568081167e-06	0.0004492111673096214
CYP4F8	4.3627825		1.2841847910984687e-05	0.0005707487960437638
COL5A2	4.124365		3.7175907945679146e-05	0.0016163438237251802
VCAN	3.8456438	-2.7496657	0.00012023634383521049	0.004907605870824917
CCL4L2	3.675416		0.00023746212454389	0.009312240178191766
UGT2B28	3.6201003		0.00029448876822961824	0.011326491085754549
C5orf49	3.6150677		0.00030026915022691476	0.01133091132931754
AC243829.1	3.498642		0.0004676340502874408	0.017319779640275586
MNX1	3.3047743		0.0009505291121360008	0.033351898671438625
SLC26A3	3.2796998		0.0010391755817559883	0.03583364075020649
BCL11B	3.1444097		0.0016642222386707506	0.05641431317527969
PLXDC1	3.0327709		0.0024231948532348374	0.07918728457357811
CAMP	3.0107353		0.002606160239212273	0.08273524568927851
CASP14	2.9520996		0.003156212670400089	0.09863164595000277
FAM13C	2.8809144		0.003965233581101187	0.12015859336670265
JAKMIP1	2.8736887		0.004057085070397801	0.12110701702680002
HLA-DQA2	2.8035855		0.005053781240335495	0.14439374972387126
RASSF1-AS1	2.7754886		0.0055118812850643234	0.15526426155110773
ZNF350-AS1	2.6665618		0.007663150229108612	0.2071121683542868
HBB	2.504978		0.012245901921181518	0.32226057687319787
BAALC	2.4938421		0.012636875804596069	0.3282305403791187
LYZ	2.3981082		0.01647999743305946	0.42256403674511434
CNTD1	2.2934976		0.021819374420511357	0.5523892258357306
IQGAP3	2.245194		0.024755681183819322	0.6146674620433571
HIST1H2AI	2.2209363		0.02635527736225069	0.6411767406016546
TBX10	2.2172086		0.02660883473496867	0.6411767406016546
GALNTL6	2.1810906		0.02917671917620979	0.6865110394402303
LINC00243	1.9833045		0.04733343215381647	1.0
CYSRT1	1.9697962		0.04886173909286632	1.0
AC100801.1	1.7610278		0.07823370439343612	1.0
LINC00052	1.7269456	-3.159501	0.08417742142656892	1.0
RAB37	1.7211125		0.08523041200821758	1.0
APOC1	1.6933407		0.0903906456405118	1.0
FAM183A	1.6825281		0.09246646664665954	1.0
HTRA1	1.646161		0.09973061556321344	1.0
ADAMTS4	1.6276928	-0.18550837	0.1035900415540542	1.0
BANK1	1.5602903		0.11869129377893041	1.0
CXCL11	1.535334		0.12470181531744029	1.0
FAM19A2	1.5026135		0.13293873004949014	1.0
LINC00632	1.4854892		0.137414280091597	1.0
GRAMD1B	1.4777769		0.1394675109884786	1.0
CXCL12	1.4260287		0.15386005999195693	1.0
PYY	1.4175498		0.15632224163736685	1.0
CXCL9	1.3982375		0.1620417786680809	1.0
SEMA3G	1.3929396		0.16363807137799968	1.0
GIMAP2	1.3903618		0.16441905140368462	1.0
AL603756.1	1.3854634		0.16591084041121706	1.0
CNTN2	1.3676986		0.17140644244688608	1.0
DIO1	1.3398637	-2.1776006	0.18028967269133367	1.0
AC005920.1	1.331899		0.18289336375631948	1.0
BX284668.6	1.2788814		0.20093882954715936	1.0
HIST3H2BB	1.276184		0.20189050985210533	1.0
CNTN1	1.2708359		0.20378703179584323	1.0
AL022322.2	1.2603275		0.20755125656350237	1.0
NOX5	1.2409278		0.21463243701985057	1.0
IGKV3-11	1.2172441		0.22351133997165606	1.0
NPPC	1.2071254	-1.3080459	0.22738383917153038	1.0
TRGC2	1.2050797		0.2281725336371795	1.0
CPLANE2	1.1842439		0.23631651158310774	1.0
C1QC	1.1278301		0.2593916375721892	1.0
AC005837.1	1.1096078		0.2671680683244787	1.0
AC104532.2	1.0502799		0.29358944627148653	1.0
HCLS1	1.0479949		0.294640994687982	1.0
SYP	1.0405332	-2.923105	0.29809227397281024	1.0
CDH7	1.0388529		0.29887315784299573	1.0
LAG3	1.0376352		0.29943994459627576	1.0
ORM1	0.99412006		0.32016442733558137	1.0
AC025171.4	0.98578024		0.3242409630721784	1.0
PCK1	0.95170784		0.34124516529428706	1.0
ODAM	0.948425	1.3191307	0.34291314958098906	1.0
VWF	0.9446699		0.3448274381231614	1.0
IGLL5	0.9442122		0.34506121231992093	1.0
CFAP57	0.93220466		0.351230773183298	1.0
AGAP2	0.9251408		0.35489267145709535	1.0
HBA2	0.9130055		0.36123966201068425	1.0
COL7A1	0.897487		0.36945910452578556	1.0
ACAP1	0.8788344	-0.88572186	0.37949105082122847	1.0
AC079354.1	0.8758782		0.3810962350763414	1.0
BFSP2	0.8664954		0.3862185774106064	1.0
AL158163.2	0.86126214		0.3890936780976272	1.0
DQX1	0.84982383		0.39542304101321635	1.0
KLRG1	0.8493419		0.395691068943101	1.0
DUSP19	0.8487985		0.3959934065413431	1.0
AC024132.3	0.8410102		0.40034222646130857	1.0
AC004540.1	0.8346563	-3.792396	0.4039112620048402	1.0
APELA	0.83106935		0.40593443831642084	1.0
AMTN	0.82893306		0.40714227534118763	1.0
AC015819.2	0.82680327		0.40834858610079905	1.0
INPP5D	0.8218126		0.4111835433567532	1.0
MYT1	0.7974417		0.42519454199666007	1.0
PTGS1	0.7949642		0.42663433252696104	1.0
IGKV3-20	0.78399485		0.4330431313765628	1.0
LINC01970	0.7772593	-2.9836113	0.43700580698188596	1.0
CCDC152	0.7754804		0.4380558470165209	1.0
LINC00545	0.76588565		0.4437443407852716	1.0
KRT24	0.76455474		0.4445367424637059	1.0
FGG	0.7617133		0.4462311177836713	1.0
PRODH	0.7477587		0.45460573311035135	1.0
LINC02361	0.747694		0.4546447590034626	1.0
DIRAS3	0.7450547	1.8375849	0.45623862420471495	1.0
IGHV1-2	0.7390696		0.4598647597501475	1.0
BHLHE40-AS1	0.709687		0.4778982578466827	1.0
AL138760.1	0.7088768		0.47840094042629355	1.0
ZBTB20-AS2	0.7069022		0.4796272503188621	1.0
RASAL3	0.704402		0.4811824307720344	1.0
IGLV2-23	0.68809927		0.4913902856188319	1.0
OLR1	0.6759833		0.4990512324744143	1.0
NRG3	0.67264545		0.501172871412724	1.0
SPINK2	0.6699949		0.5028610395108493	1.0
MUC19	0.6626141		0.5075777449695392	1.0
LINC00939	0.66056836		0.508889169248594	1.0
IGLV2-14	0.6532296		0.5136082792014427	1.0
TBC1D10C	0.6383968		0.5232154128516504	1.0
AC005899.8	0.6364966		0.5244527877727025	1.0
ENTPD1	0.6360454		0.5247468185962879	1.0
FCGBP	0.61720043		0.5371025466164084	1.0
A2M-AS1	0.6171066		0.5371644080544274	1.0
CADM2	0.6146711	-0.34063435	0.5387719248955402	1.0
VSTM2A	0.6116438	-0.29999563	0.5407734698060557	1.0
NCKAP1L	0.60936034		0.5422856370161839	1.0
LCK	0.60272825	-4.8695498	0.5466894822675816	1.0
EGR4	0.60023296		0.5483510011653379	1.0
SAMSN1	0.5902113		0.5550490157593038	1.0
GABRD	0.58532256	-4.89244	0.5583308658917665	1.0
SALL4	0.5841549		0.55911608173523	1.0
FPR3	0.5801573		0.5618085745765136	1.0
SNTN	0.5801201		0.5618336554868886	1.0
MCCD1	0.5801184		0.5618347459735296	1.0
MIR3681HG	0.5740815		0.5659126462836347	1.0
FPGT-TNNI3K	0.57342654		0.5663559182240625	1.0
IFNG	0.5606735		0.575020163459145	1.0
DOCK11	0.5562246		0.5780573283759409	1.0
EVI2B	0.5430623		0.5870868694150387	1.0
AC121338.2	0.5386927		0.5900988885041758	1.0
AMELX	0.5351883		0.5925196545281484	1.0
IGLV3-1	0.52311116		0.6008968764998209	1.0
PCP4	0.51839066	-0.3793938	0.604185742703492	1.0
IGF1	0.50880563		0.6108884872587299	1.0
AC008703.1	0.5086617		0.6109893867251169	1.0
AC007342.4	0.5037422		0.6144425388326861	1.0
UNC5A	0.49899092		0.6177857687542996	1.0
RNASE1	0.498619	-1.0563352	0.6180478276680869	1.0
GIMAP4	0.49832788	-2.6234052	0.6182529511592811	1.0
AC016745.1	0.49762604		0.6187476490331612	1.0
EOMES	0.4976131		0.6187567695106144	1.0
PLIN1	0.48895794		0.6248714706111251	1.0
AC107032.2	0.4855489		0.6272870146486511	1.0
LIPC	0.4855489		0.6272870146486511	1.0
TIGIT	0.484218	-3.8171074	0.628231172521976	1.0
APBB1IP	0.48091733		0.6305752618858393	1.0
TTR	0.4808413		0.6306292853445636	1.0
AC099518.1	0.4808413		0.6306292853445636	1.0
DOK2	0.47961712		0.6314996796977908	1.0
LST1	0.47850934	-4.127634	0.6322877294644527	1.0
IGLV2-11	0.47817943		0.6325224995192809	1.0
LINC01521	0.4769326		0.6334101265839835	1.0
MAP4K1	0.4735252		0.6358385366356307	1.0
TEKT2	0.46689796		0.64057287218312	1.0
POU3F1	0.46212244		0.6439935174930015	1.0
CORO6	0.45499876	-1.246575	0.649110131572721	1.0
PDE3B	0.45196655		0.6512930840932986	1.0
AC020911.2	0.4501181	-2.8800616	0.6526252816967605	1.0
KLRB1	0.44934347	-2.3569179	0.6531838991598968	1.0
LACRT	0.44798666		0.6541628228604262	1.0
MSR1	0.44790742	-1.9445567	0.6542200132146976	1.0
ASPN	0.44474584	-5.7128067	0.6565034447298395	1.0
BIN2	0.44333887	-1.1219665	0.6575206351018966	1.0
IGKV1-39	0.4332477		0.664834848426844	1.0
COLQ	0.4292306		0.6677554197381174	1.0
PLIN4	0.4217123	-8.740412	0.6732350107405298	1.0
MS4A6A	0.41510776	-1.930669	0.6780630244947771	1.0
LINC01144	0.41311863		0.6795197081714197	1.0
IGHV3-21	0.40776253		0.6834480355940221	1.0
GZMM	0.40268296		0.6871814784317332	1.0
FCGR3A	0.4017078	-2.3672378	0.6878990910080418	1.0
SCGB1B2P	0.4007973		0.6885693545784971	1.0
ZC3H12D	0.39834568		0.690375400023304	1.0
CFAP126	0.39700663	-2.7207701	0.6913625610352878	1.0
AC104187.1	0.39364776		0.6938411156669131	1.0
TXK	0.38497645		0.7002548755089515	1.0
IGHV3-72	0.38227737		0.7022556469333667	1.0
TPH1	0.3794214	-1.7943902	0.7043749491977342	1.0
KLK3	0.37890068		0.7047616159493315	1.0
PARVG	0.3788651	-1.9449478	0.7047880369601891	1.0
NYAP2	0.37425128		0.7082173690057099	1.0
ST8SIA4	0.37416396	-1.6437112	0.7082823348463669	1.0
IPCEF1	0.37239152		0.7096013589773943	1.0
LINC00589	0.37020025		0.7112332903313761	1.0
GRPR	0.36808014	-1.5793751	0.7128134897197396	1.0
AC004687.1	0.3668252	-2.9916945	0.713749414364371	1.0
IL16	0.36679608	-3.7258978	0.7137711290755635	1.0
CPNE5	0.36552823		0.7147171501375968	1.0
CCL18	0.3641633	-3.9977112	0.7157360608861985	1.0
TNFRSF17	0.3641229		0.7157662496246898	1.0
CFH	0.36292455		0.7166612454528862	1.0
IGHV3-23	0.3567922		0.7212473749663407	1.0
FOXP3	0.35348183		0.7237272470700733	1.0
AL512625.2	0.35208458		0.7247748269761373	1.0
AC084018.2	0.3513035	-4.8576946	0.7253606779893473	1.0
LY86	0.35077628	-3.25371	0.7257561880006973	1.0
TRDC	0.35076982	-3.885886	0.7257610413387381	1.0
RNASE6	0.34996447	-2.9357145	0.7263653679005008	1.0
GPR65	0.34729287	-3.573239	0.7283712996565699	1.0
LAIR1	0.34597325	-2.311292	0.729362810891371	1.0
ADAMTS14	0.3413643		0.7328293521105903	1.0
PLAC8	0.34134975	-1.714483	0.7328403077627432	1.0
AKR1B15	0.34083223		0.7332298774190811	1.0
ITGA2B	0.339283	-2.049032	0.7343965620194377	1.0
GSG1	0.3366308		0.7363952316646805	1.0
AC012313.9	0.3366308		0.7363952316646805	1.0
OGN	0.33602273		0.7368537152593029	1.0
GTSE1-DT	0.33396894	-4.8373723	0.7384030085264982	1.0
SLC2A14	0.33395275	-1.0405062	0.7384152119118679	1.0
AC005759.1	0.332638	-3.6378727	0.7394075673767215	1.0
IGHV4-59	0.33130705		0.7404125710648597	1.0
AC005520.2	0.3292031	-1.2837576	0.7420021864020196	1.0
AC011933.3	0.32526848		0.7449778768244388	1.0
UNC45B	0.32526848		0.7449778768244388	1.0
AC090152.1	0.3251197	-4.022725	0.7450904728260495	1.0
DLK1	0.3223139	3.3675928	0.747214903960975	1.0
HIST1H3J	0.32056087		0.7485431908006022	1.0
CCL17	0.31721494		0.7510805236324947	1.0
CXCR3	0.31592926		0.7520561955075555	1.0
KCNAB2	0.31581283	-1.0814794	0.7521445778398399	1.0
JSRP1	0.31557834		0.7523225798991056	1.0
JARID2-AS1	0.31452233		0.7531243660778386	1.0
PMEL	0.31411642		0.7534326273876217	1.0
CD86	0.3132205		0.7541131519654746	1.0
JAK3	0.31223887		0.7548590001399721	1.0
WAS	0.30848053		0.7577167111741588	1.0
AC243960.1	0.30845466		0.7577363971367695	1.0
PLAC1	0.30744717	4.155194	0.758503041353775	1.0
HRCT1	0.3073097	-0.2197058	0.7586076581106579	1.0
AL138720.1	0.30715284		0.7587270496912648	1.0
HIST1H4I	0.30715284		0.7587270496912648	1.0
UGT2B4	0.30111426		0.7633273578331083	1.0
ZNF683	0.29978657	-4.241286	0.7643399623757094	1.0
IGLV3-21	0.29978332		0.7643424296275174	1.0
IGKV1-9	0.29978332		0.7643424296275174	1.0
IGLV3-19	0.29978332		0.7643424296275174	1.0
PLAC9	0.29843944	-3.3288982	0.7653677794706634	1.0
CD6	0.29772952	-1.9670883	0.7659096165933023	1.0
EVI2A	0.2976438	-1.8796436	0.7659750397628834	1.0
APOF	0.29374477		0.7689529348218862	1.0
IGHV1-18	0.29374477		0.7689529348218862	1.0
ZCCHC18	0.29303		0.7694992330408554	1.0
TNFRSF4	0.29266128	-1.438093	0.7697810786889508	1.0
AC083836.1	0.2903681		0.7715346422745242	1.0
SARDH	0.28906465	-1.0469251	0.7725318998803428	1.0
CFAP99	0.28298566	-1.2777897	0.7771878201397266	1.0
IGHE	0.28033674	-0.90636545	0.7792191738649843	1.0
SIRPG	0.28033674		0.7792191738649843	1.0
ICOS	0.28033674		0.7792191738649843	1.0
AC000068.1	0.27778158	-1.782225	0.7811800292914602	1.0
OLFML2B	0.27567115	-1.1233393	0.7828006469658366	1.0
CYBB	0.27560484	-1.1108277	0.782851578239089	1.0
CYP51A1-AS1	0.27496606	-2.709112	0.7833423052248857	1.0
ARRDC5	0.27429816		0.7838554866329216	1.0
U91319.1	0.27429816	-2.497234	0.7838554866329216	1.0
ZBP1	0.2741413	-3.714411	0.783976029565259	1.0
AL121672.2	0.27225244	-3.0611386	0.785427921822915	1.0
CHD5	0.27225244		0.785427921822915	1.0
CFAP73	0.2722395	-1.3303246	0.7854378688710494	1.0
CILP	0.26961806	-2.3599331	0.7874541101121182	1.0
ARHGAP9	0.268879	-1.8237499	0.7880227965550929	1.0
AC106738.2	0.2682596	-2.1537373	0.7884994851644903	1.0
CALY	0.2629407	-1.1513282	0.7925962761371376	1.0
CD226	0.25965783	-4.197659	0.7951277202863034	1.0
AL136982.7	0.2588444	-2.0220876	0.7957553044608852	1.0
GRAP2	0.25751022	-2.044963	0.7967849282764998	1.0
XCL1	0.25621486	-3.8552418	0.7977849379281888	1.0
MS4A4A	0.25620514	-2.0928693	0.7977924298917163	1.0
PARP15	0.2562003		0.7977961758804643	1.0
IGKV3-15	0.25485158		0.7988377410272199	1.0
SIT1	0.25485158	-1.1397207	0.7988377410272199	1.0
AL157888.1	0.25280583	-1.8253858	0.8004182559328008	1.0
KIF21B	0.25095254		0.8018507960160572	1.0
SLCO2B1	0.25014558	-3.6178396	0.8024747720025375	1.0
ACER1	0.25014395		0.8024760225820178	1.0
P2RY10	0.25014395	-1.0729432	0.8024760225820178	1.0
LRRC17	0.24891329	-2.7191298	0.8034278600209095	1.0
CTLA4	0.24880655	-2.0747933	0.8035104247303659	1.0
AL009176.1	0.24809822	-2.3134792	0.8040584096824528	1.0
LINC02099	0.24809822		0.8040584096824528	1.0
AC246785.3	0.2480675		0.8040821829005388	1.0
HIST1H4D	0.24482505	-2.9360118	0.806591897388303	1.0
ITGAX	0.24414098	-7.828211	0.8071216337322857	1.0
GIMAP1	0.2435022	-3.3201015	0.8076163846778743	1.0
RGS7BP	0.24277446		0.808180118767879	1.0
AL022341.2	0.24072874	-2.2058272	0.8097653705869169	1.0
C17orf82	0.23940103	-1.5847539	0.8107946360642603	1.0
AL139383.1	0.23806685	-1.5605333	0.8118292458339141	1.0
RGL4	0.23806523		0.8118305001061472	1.0
FGL2	0.23785824	-2.0814497	0.8119910509376228	1.0
SP140	0.23673591	-2.291598	0.8128616749335764	1.0
PRF1	0.23673105	-3.3682902	0.8128654389408263	1.0
AC009275.1	0.23335923	-1.495211	0.8154824648597757	1.0
AP001432.1	0.23069735	-3.0480473	0.817549928348959	1.0
IGKV4-1	0.23069735		0.817549928348959	1.0
CLECL1	0.23069412	-3.0122588	0.8175524412305758	1.0
DEFA5	0.22936642		0.8185841372090461	1.0
IGKV1-5	0.22936642		0.8185841372090461	1.0
AC024132.2	0.22936642		0.8185841372090461	1.0
C4orf50	0.22936642	-2.7539914	0.8185841372090461	1.0
IGLV1-47	0.22936642		0.8185841372090461	1.0
MEF2C	0.22655414	-0.96173805	0.8207704581806753	1.0
PRKCB	0.22470409	-1.4622772	0.8222094888496853	1.0
CX3CR1	0.2246588		0.8222447174008115	1.0
AL035701.1	0.2246588	-2.1978576	0.8222447174008115	1.0
PDGFRB	0.22357853		0.8230852760844065	1.0
ACSM2B	0.22332786		0.823280344955281	1.0
IGHV3-7	0.22332786		0.823280344955281	1.0
PTGDS	0.22236887	-2.9299717	0.8240267414070022	1.0
CD96	0.2220697	-0.937067	0.8242596295690131	1.0
AC129510.2	0.22192577		0.8243716731714861	1.0
C2orf50	0.22133711	-0.42078477	0.8248299561439463	1.0
C5AR1	0.21996251	-4.8567185	0.8259003546951257	1.0
GBP7	0.21862024	-3.7075713	0.8269458797736677	1.0
AC079310.1	0.21728931		0.8279828901542654	1.0
PAGE5	0.21728931	-6.0381684	0.8279828901542654	1.0
AL136987.1	0.21728607		0.827985410594143	1.0
C16orf54	0.21728283	-1.690288	0.827987931035792	1.0
GZMH	0.2172796	-1.3600279	0.8279904514792124	1.0
PI16	0.21263021	-2.716531	0.8316154078035767	1.0
AC012645.3	0.2112459	-1.347208	0.8326953952115949	1.0
COL10A1	0.2112459	-0.9639051	0.8326953952115949	1.0
HIST2H2AB	0.21062005	-1.6092758	0.8331837643482898	1.0
ITK	0.20793068	-1.4104763	0.8352830939428602	1.0
AL158071.3	0.20789187	-4.6213455	0.8353133995731034	1.0
CD163	0.20659812	-5.883505	0.8363237269040393	1.0
FAM81B	0.20582834	-2.0894136	0.8369249999268028	1.0
ASCL1	0.20388126	-0.21313344	0.8384462914815922	1.0
IGLV9-49	0.20388126		0.8384462914815922	1.0
IGLC7	0.20388126	-1.0819392	0.8384462914815922	1.0
CPA3	0.20388126	-1.0964341	0.8384462914815922	1.0
BCHE	0.20388126	-2.6495636	0.8384462914815922	1.0
SLAMF7	0.20309207	-2.1467905	0.8390630670429239	1.0
SAMD3	0.19917364	-3.1155815	0.8421269156636831	1.0
OR3A3	0.19848472	-1.0632682	0.8426658350700669	1.0
TAGAP	0.19820818	-1.2425612	0.8428821826164342	1.0
AC026726.1	0.1978427	-1.4002398	0.8431681338218466	1.0
PDZRN4	0.1978427		0.8431681338218466	1.0
AP000977.1	0.1978427	-4.649478	0.8431681338218466	1.0
SIGLEC1	0.1978411	-3.65206	0.8431693991386429	1.0
NRROS	0.19715054	-1.6567295	0.8437097263620806	1.0
GRIA2	0.19453071	-0.15320536	0.8457603466517979	1.0
CAMK4	0.19452101	-1.487054	0.8457679434931054	1.0
AC009812.3	0.1944353	-2.2843099	0.8458350495473146	1.0
AC060766.4	0.19377388	-3.5202713	0.8463529432805499	1.0
AC008663.2	0.19313508	-4.189928	0.8468531726141414	1.0
SH2D1A	0.19183002	-1.3075953	0.8478753517784481	1.0
AC005920.3	0.19180416	-1.6812543	0.8478956206250106	1.0
MPEG1	0.19179767	-2.9734654	0.8479006878523693	1.0
ASAH2	0.1904263	-2.4083085	0.8489750816723928	1.0
Z82206.1	0.18977296	-1.344753	0.8494870379133554	1.0
AC008663.3	0.18842748	-1.8781555	0.8505415633813546	1.0
GLRA3	0.18744585	-0.2913792	0.8513110794911433	1.0
UPK1A	0.18712564	-0.6957119	0.8515621219997329	1.0
CYTH4	0.18577206	-1.2994416	0.8526235130512811	1.0
CLRN1-AS1	0.1857656	-3.1487818	0.8526285860523155	1.0
AL591848.4	0.18371986	-2.6766374	0.8542332273584472	1.0
AL139099.1	0.18319912	-3.1930568	0.85464177807996	1.0
AC100803.3	0.18238892	-2.667907	0.8552775198616418	1.0
AC120049.1	0.18105797	-3.127152	0.8563220658962398	1.0
