names	scores	logfoldchanges	pvals	pvals_adj
APOE	34.636284		7.186811379035866e-263	1.437362275807173e-259
VCAN	26.923794		1.1566441978228902e-159	1.1566441978228902e-156
FTL	26.727274	3.0258825	2.269114965368766e-157	1.5127433102458438e-154
HRCT1	23.092585		5.4965826868072665e-118	2.748291343403633e-115
FGFBP2	19.990711		6.634231841107116e-89	2.6536927364428466e-86
LIMD2	15.878549		8.921835078569428e-57	2.9739450261898093e-54
CREM	15.800007		3.110806818911522e-56	8.888019482604349e-54
RNASE1	14.231954		5.803785363203103e-46	1.4509463408007757e-43
C1R	12.897681		4.6384491076800864e-38	1.0307664683733527e-35
C1S	12.794117		1.7685049050634303e-37	3.5370098101268605e-35
CD83	12.750699		3.089619348922081e-37	5.617489725312875e-35
RGCC	12.73169		3.942114519789245e-37	6.570190866315408e-35
COL2A1	12.480306		9.561838142649646e-36	1.4710520219460995e-33
PCP4	12.293753		9.785529666572347e-35	1.397932809510335e-32
FBLN1	12.093169	3.4166024	1.1477235507067146e-33	1.5302980676089528e-31
BCL11B	8.572075		1.0163726342359315e-17	1.2704657927949143e-15
SERPING1	7.468823		8.091518144195632e-14	9.51943311081839e-12
BIN2	6.1289034		8.848679888038525e-10	9.831866542265029e-08
HLA-DQB1	5.735035		9.749227830279994e-09	1.0262345084505256e-06
CTSS	5.171982		2.3162389925783528e-07	2.316238992578353e-05
FYN	5.089617		3.5878803876787695e-07	3.417028940646447e-05
VSIR	5.080325		3.767898110665226e-07	3.425361918786569e-05
PLPP3	5.025009	-1.077601	5.034080814327004e-07	4.377461577675656e-05
KRTDAP	4.9270144		8.349560005135354e-07	6.957966670946129e-05
THBS2	4.7639756		1.8981532718721181e-06	0.00015185226174976944
TMEM100	4.533976		5.788358760359443e-06	0.0004452583661814957
SPRR2A	4.215711		2.489922475223204e-05	0.0018443870186838549
C9orf24	3.7784433		0.00015781172921613336	0.011272266372580953
SH2D2A	3.7167127		0.00020183173046295838	0.01345544869753056
ORM2	3.672918		0.0002397964317845883	0.015470737534489567
ETS1	3.5705528	-0.67096794	0.0003562284568791619	0.022264278554947618
EGR4	3.515858		0.0004383353203952127	0.026565776993649252
ADCY7	2.9947865		0.0027463697249936582	0.14845241756722477
PXDNL	2.970842		0.0029698457555853747	0.15630767134659868
CDH19	2.9153247		0.0035531867855326167	0.17765933927663083
OLFML2B	2.883062		0.003938299641726003	0.18379330553461906
LINC01970	2.8820033		0.0039515560689943096	0.18379330553461906
CRISPLD2	2.7388368		0.00616569733204729	0.2802589696385132
GNG2	2.708296		0.0067629677042715846	0.30057634241207043
CES1	2.6836567		0.007282184960138589	0.31661673739733
LINC01118	2.6737301		0.007501281175825629	0.31920345429045227
ACTA1	2.5870245		0.009680871790451429	0.39111171504300213
ADCYAP1	2.5381806		0.011143046115859418	0.436982200621938
AKR1B15	2.4121544		0.015858559089661464	0.5766748759876896
TNFRSF13C	2.348297		0.018859473757694003	0.6573274624702056
HTN1	2.3481143		0.018868729797076208	0.6573274624702056
NPPC	2.3443065		0.019062496411635963	0.6573274624702056
MEF2C	2.270576		0.023172656260245138	0.7855137715337335
LYZ	2.2632062	3.776592	0.023622976317411806	0.7874325439137269
CDKN2B-AS1	2.1863327		0.028791264711170935	0.9439758921695389
AC103702.2	2.1526947		0.031342674598542224	1.0
HLA-DQA1	2.0897937		0.036636346412117424	1.0
AC090152.1	2.0241544		0.042954274816728324	1.0
TGFB2-AS1	2.0080473		0.04463825590422258	1.0
SLC16A10	1.9808575		0.04760725893096165	1.0
LCK	1.9789134		0.0478257542221859	1.0
KCTD12	1.954178		0.05068017083500692	1.0
APOC1	1.9346241	0.5959655	0.05303644437522702	1.0
LY96	1.7258167	4.0520163	0.08438038650037391	1.0
LINC00632	1.7241279		0.08468475459705879	1.0
RCSD1	1.6677883		0.09535776366350128	1.0
PTGS2	1.6581783		0.09728148181398767	1.0
ANGPT2	1.6095502	-2.363145	0.10749606935460769	1.0
DPF3	1.5278325		0.1265541425864523	1.0
